,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2024-02-02,Current
Market Capitalization,"6,408","11,443","11,242","13,091","14,756","13,772","14,553","15,642","15,296","14,929","14,589","15,234","15,177","16,910","16,765","15,939","15,895","15,790","16,216","16,189","18,940","19,323","21,510","19,882","14,545","14,991","13,098","15,464","17,667","19,501","20,799","22,953","22,551","17,067","15,759","13,717","13,481","15,038","13,613","15,149","15,107"
Market Cap Growth,14.13%,93.11%,103.95%,143.26%,130.27%,20.35%,29.45%,19.49%,3.66%,8.40%,0.24%,-2.61%,-0.78%,13.27%,14.92%,4.63%,4.74%,-6.62%,-3.27%,1.57%,19.15%,22.38%,32.65%,22.82%,-23.20%,-22.42%,-39.11%,-22.22%,21.46%,30.09%,58.79%,48.43%,27.65%,-12.48%,-24.23%,-40.24%,-40.22%,-11.89%,-13.62%,10.44%,-
Enterprise Value,"9,314","16,491","16,450","18,105","19,937","19,076","19,798","20,835","20,600","20,332","19,978","20,627","20,679","22,374","22,317","21,567","21,475","21,304","21,675","21,643","24,631","25,188","27,544","25,687","20,835","21,129","19,214","21,705","23,723","25,645","26,897","29,252","28,557","23,098","21,941","19,701","19,379","20,978","19,483","15,149","15,107"
PE Ratio,68.82,453.88,51.13,78.88,60.80,73.46,83.38,48.32,46.73,51.83,55.63,19.47,21.20,59.75,52.57,38.46,43.71,39.30,50.06,34.35,39.84,52.35,54.14,38.59,11.54,44.37,44.45,40.38,26.22,75.18,43.92,41.92,76.96,74.78,42.44,18.52,21.95,37.74,-594.24,-763.85,62.54
PS Ratio,10.18,15.56,13.22,13.49,13.52,12.21,12.52,13.10,12.48,11.93,11.44,11.77,11.54,12.69,12.44,11.69,11.55,11.40,11.65,11.56,13.44,13.59,14.96,13.62,9.72,9.96,8.68,10.34,12.11,13.55,14.53,15.93,15.37,11.26,10.08,8.54,8.23,9.10,8.19,9.07,9.05
PB Ratio,3.16,1.95,1.88,2.17,2.39,2.21,2.34,2.51,2.49,2.44,2.40,2.46,2.42,2.68,2.68,2.54,2.50,2.48,2.57,2.58,3.06,3.14,3.46,3.20,2.34,2.43,2.15,2.58,2.93,3.28,3.50,3.83,3.79,2.93,2.76,2.40,2.40,2.69,2.46,0,0
P/FCF Ratio,25.25,41.66,32.02,31.61,30.11,25.89,25.29,27.93,25.13,23.85,22.28,23.35,22.65,25.19,24.38,22.93,21.59,21.31,21.72,21.73,25.94,26.10,28.44,24.32,17.56,18.38,17.03,21.69,27.53,27.62,28.01,29.27,25.18,20.03,18.18,16.88,17.33,18.85,17.17,17.11,17.06
P/OCF Ratio,21.20,34.31,26.71,26.55,25.77,22.92,22.74,25.34,23.34,21.93,20.55,21.38,20.64,23.02,22.25,20.80,19.59,19.32,19.63,19.59,23.27,23.20,25.24,21.63,15.64,16.38,15.13,19.26,24.15,24.22,24.48,25.35,22.00,17.30,15.54,14.06,14.38,15.76,14.43,15.46,15.42
Debt / Equity Ratio,1.46,0.86,0.87,0.85,0.88,0.86,0.85,0.85,0.87,0.92,0.92,0.90,0.89,0.90,0.90,0.91,0.90,0.90,0.89,0.89,0.94,0.96,0.98,0.95,1.06,1.04,1.10,1.05,1.02,1.04,1.04,1.06,1.03,1.04,1.09,1.05,1.06,1.08,1.13,0,0
Quick Ratio,0.81,0.60,0.29,0.47,1.42,0.70,0.74,0.98,0.42,1.32,1.13,0.86,0.56,1.32,0.91,0.73,1.14,1.40,1.20,1.37,1.08,0.76,0.87,0.91,0.63,1.28,2.06,1.20,1.62,1.13,1.04,0.85,4.94,5.99,1.79,4.96,666.84,9.34,3.04,0,0
Current Ratio,1.17,1.12,0.69,0.70,1.63,0.81,0.90,1.20,0.57,1.48,1.33,1.22,0.66,1.49,1.04,0.84,1.31,1.58,1.34,1.50,1.21,0.86,0.94,1.01,0.70,1.50,2.27,1.49,1.88,1.25,1.19,0.95,5.51,7.06,2.12,4.96,666.84,9.34,3.04,0,0
Asset Turnover,Upgrade,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1098.30
Interest Coverage,1.30,1.00,1.42,1.34,1.58,1.59,1.65,1.82,1.91,2.01,1.93,2.02,2.10,2.07,2.11,2.12,2.10,2.15,2.15,2.10,2.24,2.39,2.35,2.23,2.46,2.32,2.46,2.13,4.04,1.93,2.91,2.12,2.30,2.67,2.58,2.81,2.86,2.56,-2.46,-2.39,-2.39
