,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"20,083","25,333","26,573","21,270","28,031","33,739","33,407","48,707","54,332","57,456","62,182"
Market Cap Growth,42.83%,26.14%,4.90%,-19.96%,31.78%,20.37%,-0.98%,45.80%,11.55%,5.75%,-
Enterprise Value,"21,229","26,607","28,314","24,202","31,416","39,561","39,106","54,211","60,768",-,"69,744"
PE Ratio,25.81,27.20,25.61,18.76,21.16,24.25,19.06,22.50,25.01,24.49,27.31
PS Ratio,2.78,3.18,3.09,2.37,2.94,3.32,2.88,3.65,3.77,3.63,3.93
PB Ratio,9.95,12.92,16.33,32.57,79.26,84.91,238.19,-733.28,-51.22,0,-32.34
P/FCF Ratio,26.41,29.20,27.18,22.68,22.91,31.23,14.09,17.62,21.02,28.33,26.08
P/OCF Ratio,16.87,19.77,18.27,15.15,16.23,19.75,11.78,15.19,17.26,18.94,18.77
EV/Sales Ratio,2.94,3.34,3.29,2.70,3.29,3.90,3.37,4.07,4.22,-,4.41
EV/EBITDA Ratio,14.44,15.40,14.70,12.33,15.14,17.97,14.26,16.66,18.34,-,19.96
EV/EBIT Ratio,16.64,17.53,16.58,14.00,17.30,20.49,16.11,18.52,20.56,-,22.52
EV/FCF Ratio,27.92,30.67,28.96,25.81,25.68,36.62,16.49,19.61,23.51,-,29.25
Debt / Equity Ratio,0.69,0.71,1.16,4.56,9.66,14.75,43.95,-88.32,-6.17,0,-4.51
Debt / EBITDA Ratio,0.95,0.81,0.72,0.96,1.44,1.55,2.14,1.89,1.77,2.05,2.24
Debt / FCF Ratio,1.84,1.61,1.42,2.01,2.43,3.16,2.47,2.23,2.27,3.23,3.29
Quick Ratio,0.16,0.11,0.13,0.09,0.08,0.07,0.15,0.13,0.08,0,0.09
Current Ratio,1.08,0.99,0.96,0.93,0.91,0.86,0.86,0.77,0.71,0,0.73
Asset Turnover,1.10,1.19,1.19,1.19,1.19,0.95,1.00,1.14,1.14,0,1.18
Interest Coverage,23.84,26.50,23.96,18.89,14.86,13.72,15.02,20.15,18.73,-15.80,-12.80
Return on Equity (ROE),39.58%,46.14%,52.91%,69.68%,202.82%,393.32%,441.01%,1543.36%,-3270.93%,-221.22%,-134.92%
Return on Assets (ROA),12.83%,14.24%,15.54%,15.74%,17.49%,17.43%,16.35%,18.67%,18.54%,18.58%,16.91%
Return on Capital (ROIC),24.06%,28.27%,32.14%,33.99%,39.08%,39.58%,29.88%,36.00%,39.54%,45.37%,40.78%
Earnings Yield,3.87%,3.68%,3.90%,5.33%,4.73%,4.12%,5.25%,4.44%,4.00%,4.08%,3.77%
FCF Yield,3.79%,3.42%,3.68%,4.41%,4.36%,3.20%,7.10%,5.68%,4.76%,3.53%,3.83%
Dividend Yield,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.70%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,227.15%
Buyback Yield / Dilution,4.55%,4.27%,4.72%,7.46%,8.07%,5.46%,4.28%,6.51%,6.68%,6.10%,5.52%
Total Shareholder Return,4.55%,4.27%,4.72%,7.46%,8.07%,5.46%,4.28%,6.51%,6.68%,6.10%,5.52%
