,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"11,363","18,164","30,198","25,317","35,693","27,217","34,170","48,822","50,819","52,973","57,245"
Market Cap Growth,25.49%,59.85%,66.25%,-16.16%,40.99%,-23.75%,25.55%,42.88%,4.09%,4.24%,-
Enterprise Value,"10,750","17,012","27,278","24,719","34,493","26,261","32,869","46,787","47,772","50,345","54,288"
PE Ratio,33.55,37.59,55.23,35.52,43.49,27.41,30.84,34.64,36.89,44.45,37.05
PS Ratio,5.06,7.37,11.09,8.30,10.59,7.15,8.13,10.62,9.17,8.39,8.27
PB Ratio,11.45,11.99,6.28,7.60,9.16,7.54,8.19,9.46,7.74,7.54,7.27
P/FCF Ratio,37.99,32.03,62.76,42.42,39.84,24.94,34.01,37.62,46.21,78.26,41.11
P/OCF Ratio,33.22,30.40,57.77,36.10,36.14,23.42,30.68,35.79,43.97,59.67,36.19
EV/Sales Ratio,4.79,6.90,10.02,8.11,10.24,6.90,7.82,10.17,8.62,7.98,7.84
EV/EBITDA Ratio,18.32,22.05,29.57,22.06,27.58,19.45,22.20,27.73,25.74,30.69,26.02
EV/EBIT Ratio,19.06,22.81,30.60,22.89,28.71,20.31,23.21,28.77,26.52,32.03,26.98
EV/FCF Ratio,35.94,30.00,56.69,41.42,38.50,24.07,32.72,36.05,43.44,74.38,38.98
Debt / Equity Ratio,-,-,-,-,0.00,0.00,0.01,0.01,0.00,0.01,0.01
Debt / EBITDA Ratio,-,-,-,-,0.00,0.00,0.02,0.02,0.02,0.03,0.03
Debt / FCF Ratio,-,-,-,-,0.00,0.00,0.03,0.02,0.03,0.06,0.04
Quick Ratio,2.88,4.03,8.28,2.49,2.95,2.40,2.83,3.64,4.12,3.68,3.60
Current Ratio,3.74,4.65,8.77,3.04,3.72,3.00,3.50,4.19,4.85,4.76,4.51
Asset Turnover,1.67,1.38,0.57,0.67,0.73,0.82,0.84,0.84,0.77,0.77,0.78
Return on Equity (ROE),38.60%,36.70%,13.90%,19.10%,21.90%,26.50%,27.60%,31.50%,22.80%,17.30%,20.80%
Return on Assets (ROA),25.10%,27.00%,11.50%,15.60%,17.70%,21.30%,22.10%,25.70%,19.10%,14.50%,17.50%
Return on Capital (ROIC),34.68%,31.96%,9.34%,21.52%,21.01%,27.28%,26.12%,27.29%,20.84%,17.00%,18.79%
Earnings Yield,2.98%,2.66%,1.81%,2.82%,2.30%,3.65%,3.24%,2.89%,2.71%,2.25%,2.74%
FCF Yield,2.63%,3.12%,1.59%,2.36%,2.51%,4.01%,2.94%,2.66%,2.16%,1.28%,2.43%
Buyback Yield / Dilution,5.30%,-0.52%,-10.50%,-3.82%,3.78%,2.23%,3.13%,2.16%,-0.16%,0.45%,0.62%
Total Shareholder Return,5.30%,-0.52%,-10.50%,-3.82%,3.78%,2.23%,3.13%,2.16%,-0.16%,0.45%,0.62%
