,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Net Income,-11.2,-22.9,-20.1,57.5,0.6,-63.3,4.2,-2.1,11.2,6.3,62.7,-1.5,8.6,5.5,-0.8,-17.3,-19.2,-25.8,-20.9,-9.5,-27.4,-19.8,-21,-5.2,9.9,3.1,-3.8
Depreciation & Amortization,14.1,12,13.6,14.1,13.9,14.2,14.3,14.2,14.4,14.6,14.9,13.2,11.8,12.1,13,14.9,15,23.3,21,18.2,20.9,21.6,21.9,24.6,22.1,23.3,38.7
Share-Based Compensation,4.5,4,4.3,3.3,2.7,10.5,4.8,5.2,6,9.6,10.4,10.5,12.5,15.3,18.5,19.5,22.8,31.4,29.4,29.8,35.5,38.8,39.2,31.3,40.2,41.5,36.3
Other Operating Activities,-52.1,13,-23.9,-50,-40.6,26.8,-6.2,10.3,-40.4,-11.5,-73.6,3.8,-31.5,-10.4,-7.3,-94.6,-23.1,-1.3,-3.7,-38.6,-23.5,-7.4,12,-8.9,-60.9,13.8,-34.6
Operating Cash Flow,-44.7,6.1,-26.1,24.9,-23.4,-11.8,17.1,27.6,-8.8,19,14.4,26,1.4,22.5,23.4,-77.5,-4.5,27.6,25.8,-0.1,5.5,33.2,52.1,41.8,11.3,81.7,36.6
Operating Cash Flow Growth,-,-,-,-,-,-,-,10.84%,-,-,-15.79%,-5.80%,-,18.42%,62.50%,-,-,22.67%,10.26%,-,-,20.29%,101.94%,-,105.45%,146.08%,-29.75%
Capital Expenditures,-8.8,-10.4,-12.9,-18.5,-10.3,-8.5,-9.9,-11.5,-13.9,-12.5,-12,-16.8,-15.6,-14.1,-14.5,-15.6,-15.3,-16,-14.4,19.9,-19.9,-22.3,-22.7,-29.6,-28.4,-28.1,-31.8
Acquisitions,0.9,0,0,-1.4,0,0,0,0,-10.2,0,-19.2,-0.8,0,-58.3,0,0,-338.3,-35.3,0.1,-36,0,0,0,0,0,0,0
Change in Investments,-51.9,73.1,5.2,-14.7,-345.2,344.6,13.7,-24,-93.5,28.2,8.3,23.1,24.9,164.3,89.6,-121.9,-51.1,46.5,-86.7,-184.5,-164.8,-45.3,-20,-17.9,28,44.4,2
Other Investing Activities,-860.1,823.1,289.2,-252.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,-,-
Investing Cash Flow,-919.9,885.8,281.5,-287,-355.5,336.1,3.8,-35.5,-117.6,15.7,-22.9,5.5,9.3,91.9,75.1,-137.5,-404.7,-4.8,-101,-200.6,-184.7,-67.6,-42.7,-47.5,-1.4,16.3,-29.8
Share Issuance / Repurchase,-1.8,78.4,0,0,0,609.4,7.8,23.6,20.1,24,32.6,10.3,11.4,40.1,18.7,21.5,11.3,23.1,36.5,24.5,6,7.3,9.3,15.8,14.8,8.4,17.1
Debt Issued / Paid,0,0,-25.9,0,-0.3,-452,0,-1.7,-1.7,-1.7,-1.7,-2.1,-2.7,292.3,-2.5,-297.1,515.5,-1.4,-1.6,-3.5,-2.1,-2.1,-2.1,-2.1,-2.1,-2,-1.9
Other Financing Activities,912,-896.4,-294.4,634.9,230.4,-592.6,-286.6,-789.6,"1,916",-607.2,"-1,363.4",584.4,480.8,"-1,052.2",-30,"1,085",513.2,"-1,079.3","2,197","-1,827.9","3,880","-1,896.4","-1,276.5",-170.3,"2,078","-2,033.1",266
Financing Cash Flow,910.2,-818,-320.3,634.9,230.1,-435.2,-278.8,-767.7,"1,935",-584.9,"-1,332.5",592.6,489.5,-719.8,-13.8,809.4,"1,040","-1,057.6","2,232","-1,806.9","3,884","-1,891.2","-1,269.3",-156.6,"2,091","-2,026.7",281.2
Exchange Rate Effect,0.7,1.9,6.4,2,-4.5,0.2,2.1,-10.6,3.9,3.5,-0.2,4.1,-14.5,2.1,4.5,3.9,3.4,3.3,-7.2,-20.4,1.7,-6.6,-32.9,0,-7.7,6.7,6.1
Net Cash Flow,-53.7,75.8,-58.5,374.8,-153.3,-110.7,-255.8,-786.2,"1,812",-546.7,"-1,341.2",628.2,485.7,-603.3,89.2,598.3,634.2,"-1,031.5","2,150","-2,028","3,706","-1,932.2","-1,292.8",-162.3,"2,093","-1,922",294.1
Free Cash Flow,-53.5,-4.3,-39,6.4,-33.7,-20.3,7.2,16.1,-22.7,6.5,2.4,9.2,-14.2,8.4,8.9,-93.1,-19.8,11.6,11.4,19.8,-14.4,10.9,29.4,12.2,-17.1,53.6,4.8
Free Cash Flow Growth,-,-,-,-,-,-,-,151.56%,-,-,-66.67%,-42.86%,-,29.23%,270.83%,-,-,38.10%,28.09%,-,-,-6.03%,157.89%,-38.38%,-,391.74%,-83.67%
Free Cash Flow Margin,-28.61%,-2.73%,-23.85%,3.41%,-17.85%,-11.34%,4.04%,8.26%,-11.14%,3.31%,1.19%,4.15%,-6.38%,4.36%,4.35%,-41.79%,-8.44%,4.63%,4.43%,7.02%,-4.91%,3.62%,9.32%,3.63%,-4.61%,14.65%,1.27%
Free Cash Flow Per Share,-0.82,-0.07,-0.60,0.10,-0.52,-0.18,0.05,0.14,-0.16,0.05,0.02,0.06,-0.10,0.06,0.06,-0.62,-0.13,0.08,0.08,0.13,-0.10,0.07,0.19,0.08,-0.11,0.35,0.03
