,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Revenue,-,187,157.5,163.5,187.8,188.8,179,178.1,194.8,203.7,196.3,202.3,221.8,222.7,192.6,204.4,222.8,234.5,250.4,257.2,282.1,293.3,301.2,315.6,336.1,370.6,365.9,377.5
Revenue Growth (YoY),-,-,-,-,-,0.96%,13.65%,8.93%,3.73%,7.89%,9.66%,13.59%,13.86%,9.33%,-1.88%,1.04%,0.45%,5.30%,30.01%,25.83%,26.62%,25.07%,20.29%,22.71%,19.14%,26.36%,21.48%,19.61%
Cost of Revenue,-,113.2,99.8,102.2,103.1,105.9,106.5,104.6,108.8,110.1,108.3,113.5,124,122.2,114,127.7,137.3,141.3,158.3,164.1,178.2,190.2,185.2,196.6,201,210.3,210,217
Gross Profit,-,73.8,57.7,61.3,84.7,82.9,72.5,73.5,86,93.6,88,88.8,97.8,100.5,78.6,76.7,85.5,93.2,92.1,93.1,103.9,103.1,116,119,135.1,160.3,155.9,160.5
"Selling, General & Admin",-,60.7,54.8,52.4,53.1,54.9,80.9,57.3,65.7,66.2,69.3,82.3,78.1,74.2,74.6,77.3,107.4,95.6,111.8,109.1,101.3,122,122.5,122.7,131.8,121.9,126.5,134
Other Operating Expenses,0,0.9,2,3.8,-6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Operating Expenses,-,61.6,56.8,56.2,46.2,54.9,80.9,57.3,65.7,66.2,69.3,82.3,78.1,74.2,74.6,77.3,107.4,95.6,111.8,109.1,101.3,122,122.5,122.7,131.8,121.9,126.5,134
Operating Income,-,12.2,0.9,5.1,38.5,28,-8.4,16.2,20.3,27.4,18.7,6.5,19.7,26.3,4,-0.6,-21.9,-2.4,-19.7,-16,2.6,-18.9,-6.5,-3.7,3.3,38.4,29.4,26.5
Interest Expense / Income,-,21.4,22,21.9,21.8,22.2,43.4,8.8,8.8,8.9,8.5,7.8,7.2,6.9,6.6,5.9,5.7,5.6,9.9,10,10.4,5.8,6.7,7.4,8.7,9.2,9.1,8.9
Other Expense / Income,-,-0.5,-0.1,2.4,11.5,-0.6,10.3,3.9,11.5,1.6,1.5,1.6,0.9,2.6,0.3,-0.2,-,4.6,8.2,3.4,2.7,-0.3,5.8,5.9,-2.9,0.8,0.7,5.1
Pretax Income,-,-8.7,-21,-19.2,5.2,6.4,-62.1,3.5,0,16.9,8.7,-2.9,11.6,16.8,-2.9,-6.3,-27.6,-12.6,-37.8,-29.4,-10.5,-24.4,-19,-17,-2.5,28.4,19.6,12.5
Income Tax,-,2.5,1.9,0.9,-52.3,5.8,1.2,-0.7,2.1,5.7,2.4,-65.6,13.1,8.2,-8.4,-5.5,-10.3,6.6,-12,-8.5,-1,3,0.8,4,2.7,18.5,16.5,16.3
Net Income,-,-11.2,-22.9,-20.1,57.5,0.6,-63.3,4.2,-2.1,11.2,6.3,62.7,-1.5,8.6,5.5,-0.8,-17.3,-19.2,-25.8,-20.9,-9.5,-27.4,-19.8,-21,-5.2,9.9,3.1,-3.8
Net Income Growth,-,-,-,-,-,-,-,-,-,1766.67%,-,1392.86%,-,-23.21%,-12.70%,-,-,-,-,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),65,65,65,65,65,65,113,138,114,140,141,143,144,145,146,147,150,149,149,150,154,152,153,153,154,154,155,156
Shares Outstanding (Diluted),-,65,65,65,65,65,113,145,114,147,148,149,150,151,151,147,131,149,149,150,154,152,153,153,154,158,158,156
Shares Change,-,-,-,-,0.44%,0.43%,73.72%,122.21%,74.72%,125.13%,30.91%,2.82%,31.69%,2.81%,2.10%,-1.35%,-12.92%,-1.63%,-1.42%,2.25%,18.03%,2.29%,2.32%,1.82%,-0.43%,3.67%,3.14%,1.64%
EPS (Basic),-,-0.24,-0.43,-0.39,0.81,-0.07,-0.58,0.03,0.03,0.08,0.04,0.44,-0.02,0.06,0.04,-0.01,-0.12,-0.13,-0.17,-0.14,-0.06,-0.18,-0.13,-0.14,-0.03,0.06,0.02,-0.02
EPS (Diluted),-,-0.24,-0.43,-0.39,0.81,-0.07,-0.58,0.03,0.03,0.08,0.04,0.42,-0.01,0.06,0.04,-0.01,-0.12,-0.13,-0.17,-0.14,-0.06,-0.18,-0.13,-0.14,-0.03,0.06,0.02,-0.02
EPS Growth,-,-,-,-,-,-,-,-,-96.30%,-,-,1300.00%,-,-25.00%,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow,-,-53.5,-4.3,-39,6.4,-33.7,-20.3,7.2,16.1,-22.7,6.5,2.4,9.2,-14.2,8.4,8.9,-93.1,-19.8,11.6,11.4,19.8,-14.4,10.9,29.4,12.2,-17.1,53.6,4.8
Free Cash Flow Per Share,-,-0.82,-0.07,-0.60,0.10,-0.52,-0.18,0.05,0.14,-0.16,0.05,0.02,0.06,-0.10,0.06,0.06,-0.62,-0.13,0.08,0.08,0.13,-0.10,0.07,0.19,0.08,-0.11,0.35,0.03
Gross Margin,-,39.47%,36.63%,37.49%,45.10%,43.91%,40.50%,41.27%,44.15%,45.95%,44.83%,43.90%,44.09%,45.13%,40.81%,37.52%,38.38%,39.74%,36.78%,36.20%,36.83%,35.15%,38.51%,37.71%,40.20%,43.25%,42.61%,42.52%
Operating Margin,-,6.52%,0.57%,3.12%,20.50%,14.83%,-4.69%,9.10%,10.42%,13.45%,9.53%,3.21%,8.88%,11.81%,2.08%,-0.29%,-9.83%,-1.02%,-7.87%,-6.22%,0.92%,-6.44%,-2.16%,-1.17%,0.98%,10.36%,8.03%,7.02%
Profit Margin,-,-5.99%,-14.54%,-12.29%,30.62%,0.32%,-35.36%,2.36%,-1.08%,5.50%,3.21%,30.99%,-0.68%,3.86%,2.86%,-0.39%,-7.76%,-8.19%,-10.30%,-8.13%,-3.37%,-9.34%,-6.57%,-6.65%,-1.55%,2.67%,0.85%,-1.01%
Free Cash Flow Margin,-,-28.61%,-2.73%,-23.85%,3.41%,-17.85%,-11.34%,4.04%,8.26%,-11.14%,3.31%,1.19%,4.15%,-6.38%,4.36%,4.35%,-41.79%,-8.44%,4.63%,4.43%,7.02%,-4.91%,3.62%,9.32%,3.63%,-4.61%,14.65%,1.27%
Effective Tax Rate,-,-,-,-,-1005.77%,90.63%,-,-20.00%,-,33.73%,27.59%,-,112.93%,48.81%,-,-,-,-,-,-,-,-,-,-,-,65.14%,84.18%,130.40%
EBITDA,-,26.8,13,16.3,41.1,42.5,-4.5,26.6,23,40.2,31.8,19.8,32,35.5,15.8,12.6,-7,8,-4.6,1.6,18.1,2.3,9.3,12.3,30.8,59.7,52,60.1
EBITDA Margin,-,14.33%,8.25%,9.97%,21.88%,22.51%,-2.51%,14.94%,11.81%,19.73%,16.20%,9.79%,14.43%,15.94%,8.20%,6.16%,-3.14%,3.41%,-1.84%,0.62%,6.42%,0.78%,3.09%,3.90%,9.16%,16.11%,14.21%,15.92%
Depreciation & Amortization,-,14.1,12,13.6,14.1,13.9,14.2,14.3,14.2,14.4,14.6,14.9,13.2,11.8,12.1,13,14.9,15,23.3,21,18.2,20.9,21.6,21.9,24.6,22.1,23.3,38.7
EBIT,-,12.7,1,2.7,27,28.6,-18.7,12.3,8.8,25.8,17.2,4.9,18.8,23.7,3.7,-0.4,-21.9,-7,-27.9,-19.4,-0.1,-18.6,-12.3,-9.6,6.2,37.6,28.7,21.4
EBIT Margin,-,6.79%,0.63%,1.65%,14.38%,15.15%,-10.45%,6.91%,4.52%,12.67%,8.76%,2.42%,8.48%,10.64%,1.92%,-0.20%,-9.83%,-2.99%,-11.14%,-7.54%,-0.04%,-6.34%,-4.08%,-3.04%,1.84%,10.15%,7.84%,5.67%
