,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Net Income,Upgrade,"-3,426",865,833,"1,031","1,638","1,692","1,718",950,"2,206","1,960"
Depreciation & Amortization,Upgrade,404,386,471,515,487,489,633,578,625,565
Share-Based Compensation,Upgrade,27,53,24,23,48,41,41,48,59,84
Other Operating Activities,Upgrade,"5,644",86,-99,-79,-290,-455,-695,"-1,465",-615,"1,510"
Operating Cash Flow,Upgrade,"2,649","1,390","1,229","1,490","1,883","1,767","1,697",111,"2,275","4,119"
Operating Cash Flow Growth,Upgrade,54.55%,-47.53%,-11.58%,21.24%,26.38%,-6.16%,-3.96%,-93.46%,1949.55%,81.05%
Capital Expenditures,Upgrade,-343,-308,-284,-300,-412,-232,-95,-118,-124,-126
Acquisitions,Upgrade,0,0,0,0,0,-533,-129,-3,-165,-255
Change in Investments,Upgrade,"-2,070","-9,778","-5,584","-10,978","-3,500","-5,893","-3,545","-5,950","-8,831","-11,385"
Other Investing Activities,Upgrade,-40,-188,-37,-48,-72,-419,-106,-65,"-1,366",-871
Investing Cash Flow,Upgrade,"-2,453","-10,274","-5,905","-11,326","-3,984","-7,077","-3,875","-6,136","-10,486","-12,637"
Dividends Paid,Upgrade,0,-806,-214,-241,-322,-471,-617,-672,-670,-779
Share Issuance / Repurchase,Upgrade,0,-334,-500,-430,-820,"-1,025","-1,220",-270,-295,-153
Debt Issued / Paid,Upgrade,"3,651","6,730","-1,873","3,875","-2,680","2,796","-3,055","-5,818","-1,507","4,831"
Other Financing Activities,Upgrade,"-4,153","3,813","7,072","7,251","5,251","5,052","6,382","22,132","7,108","6,008"
Financing Cash Flow,Upgrade,-502,"9,403","4,485","10,455","1,429","6,352","1,490","15,372","4,636","9,907"
Net Cash Flow,Upgrade,-306,519,-191,619,-672,"1,042",-688,"9,347","-3,575","1,389"
Free Cash Flow,Upgrade,"2,306","1,082",945,"1,190","1,471","1,535","1,602",-7,"2,151","3,993"
Free Cash Flow Growth,Upgrade,70.94%,-53.08%,-12.66%,25.93%,23.61%,4.35%,4.36%,-,-,85.63%
Free Cash Flow Margin,Upgrade,54.76%,23.22%,20.90%,24.36%,27.31%,26.46%,26.27%,-0.13%,30.48%,52.91%
Free Cash Flow Per Share,Upgrade,4.12,1.94,1.76,2.28,2.93,3.21,3.56,-0.02,5.05,8.39
