,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Revenue,Upgrade,"4,211","4,660","4,522","4,886","5,386","5,802","6,098","5,289","7,058","7,547"
Revenue Growth (YoY),Upgrade,-6.03%,10.66%,-2.96%,8.05%,10.23%,7.72%,5.10%,-13.27%,33.45%,6.93%
Gross Profit,Upgrade,"4,211","4,660","4,522","4,886","5,386","5,802","6,098","5,289","7,058","7,547"
"Selling, General & Admin",Upgrade,"2,614","2,674","2,583","2,661","2,489","2,660","2,857","3,007","3,060","3,659"
Other Operating Expenses,Upgrade,"5,065",718,676,691,985,959,990,984,"1,021","1,233"
Operating Expenses,Upgrade,"7,679","3,392","3,259","3,352","3,474","3,619","3,847","3,991","4,081","4,892"
Operating Income,Upgrade,"-3,468","1,268","1,263","1,534","1,912","2,183","2,251","1,298","2,977","2,655"
Other Expense / Income,Upgrade,-,-,7,14,14,29,73,107,113,113
Pretax Income,Upgrade,"-3,468","1,268","1,256","1,520","1,898","2,154","2,178","1,191","2,864","2,542"
Income Tax,Upgrade,-42,403,423,489,260,462,460,241,658,582
Net Income,Upgrade,"-3,426",865,833,"1,031","1,638","1,692","1,718",950,"2,206","1,960"
Net Income Growth,Upgrade,-,-,-3.70%,23.77%,58.87%,3.30%,1.54%,-44.70%,132.21%,-11.15%
Shares Outstanding (Basic),Upgrade,560,557,536,522,502,479,450,427,426,476
Shares Outstanding (Diluted),Upgrade,560,558,538,524,504,480,451,428,427,478
Shares Change,Upgrade,-,-0.41%,-3.50%,-2.66%,-3.86%,-4.62%,-6.08%,-5.11%,-0.17%,11.78%
EPS (Basic),Upgrade,-6.12,1.55,1.55,1.97,3.26,3.54,3.82,2.22,5.18,4.12
EPS (Diluted),Upgrade,-6.12,1.55,1.55,1.97,3.25,3.52,3.81,2.22,5.16,4.10
EPS Growth,Upgrade,-,-,0%,27.10%,64.97%,8.31%,8.24%,-41.73%,132.43%,-20.54%
Free Cash Flow,Upgrade,"2,306","1,082",945,"1,190","1,471","1,535","1,602",-7,"2,151","3,993"
Free Cash Flow Per Share,Upgrade,4.12,1.94,1.76,2.28,2.93,3.21,3.56,-0.02,5.05,8.39
Dividend Per Share,Upgrade,-,0.100,0.400,0.460,0.640,0.980,1.360,1.560,1.560,1.620
Dividend Growth,Upgrade,-,-,300.00%,15.00%,39.13%,53.13%,38.78%,14.71%,0%,3.85%
Gross Margin,Upgrade,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,Upgrade,-82.36%,27.21%,27.93%,31.40%,35.50%,37.62%,36.91%,24.54%,42.18%,35.18%
Profit Margin,Upgrade,-81.36%,18.56%,18.42%,21.10%,30.41%,29.16%,28.17%,17.96%,31.26%,25.97%
Free Cash Flow Margin,Upgrade,54.76%,23.22%,20.90%,24.36%,27.31%,26.46%,26.27%,-0.13%,30.48%,52.91%
Effective Tax Rate,Upgrade,-,31.78%,33.68%,32.17%,13.70%,21.45%,21.12%,20.24%,22.97%,22.90%
EBITDA,Upgrade,"-3,064","1,654","1,727","2,035","2,385","2,643","2,811","1,769","3,489","3,107"
EBITDA Margin,Upgrade,-72.76%,35.49%,38.19%,41.65%,44.28%,45.55%,46.10%,33.45%,49.43%,41.17%
Depreciation & Amortization,Upgrade,404,386,471,515,487,489,633,578,625,565
EBIT,Upgrade,"-3,468","1,268","1,256","1,520","1,898","2,154","2,178","1,191","2,864","2,542"
EBIT Margin,Upgrade,-82.36%,27.21%,27.78%,31.11%,35.24%,37.13%,35.72%,22.52%,40.58%,33.68%
