,2019-12-31,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,-,-,-,-,-,-,"93,354","45,244","23,183","30,152","16,973","14,351","15,649","23,021","15,452"
Market Cap Growth,-,-,-,-,-,-,-,-,-,-,-81.82%,-68.28%,-32.50%,-23.65%,-
Enterprise Value,"-2,190",-,"-2,799",-,"-3,468","-1,965","76,828","30,421","9,915","18,641","7,217","6,415","8,794","17,301","9,732"
PE Ratio,-,-,-,-,-,-,-19.91,-7.71,-3.31,-4.03,-2.51,-2.20,-2.61,-4.09,-4.09
PS Ratio,-,-,-,-,-,-,1697.34,301.63,45.10,28.74,10.24,6.45,5.25,6.09,4.09
PB Ratio,-,-,-,-,-,-,4.78,2.48,1.37,1.97,1.23,1.13,1.34,2.18,1.46
P/FCF Ratio,-,-,-,-,-,-,-21.14,-8.93,-4.06,-4.85,-2.64,-2.12,-2.29,-3.70,-3.70
P/OCF Ratio,-,-,-,-,-,-,-35.60,-13.74,-5.78,-6.43,-3.36,-2.59,-2.75,-4.42,-4.42
Debt / Equity Ratio,-0.20,-,-0.13,-,-0.08,-0.88,0.08,0.09,0.10,0.11,0.13,0.26,0.29,0.32,0.32
Quick Ratio,12.24,-,4.89,-,4.47,4.92,13.83,10.80,8.55,6.34,4.81,5.02,4.64,3.57,3.57
Current Ratio,12.40,-,4.94,-,4.71,5.11,14.14,11.19,8.97,6.84,5.42,5.88,5.66,4.61,4.61
Interest Coverage,-,-143.00,-176.00,-81.80,-579.00,-1232.00,-110.86,-71.41,-70.21,-70.79,-51.21,-34.47,-21.13,-23.85,-30.29
Return on Capital (ROIC),,-,-,29.32%,-,74.65%,509.38%,-19.98%,-27.12%,-35.18%,-43.95%,-43.92%,-41.81%,-41.74%,-42.63%
Buyback Yield / Dilution,-,-,-,-,-3.06%,-1.00%,-96.15%,-792.08%,-799.01%,-808.91%,-353.43%,-3.22%,-3.74%,-3.70%,-3.70%
Total Shareholder Return,-,-,-,-,-3.06%,-1.00%,-96.15%,-792.08%,-799.01%,-808.91%,-353.43%,-3.22%,-3.74%,-3.70%,-3.70%
