,2019-12-31,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Revenue,-,0,0,0,0,1,54,95,364,536,663,661,"1,121","1,337"
Revenue Growth (YoY),-,-,-,-,-,-,-,-,-,53500.00%,1127.78%,595.79%,207.97%,149.44%
Cost of Revenue,-,0,0,0,0,83,437,597,"1,068","1,453","1,663","1,196","1,533","1,814"
Gross Profit,-,0,0,0,0,-82,-383,-502,-704,-917,"-1,000",-535,-412,-477
"Selling, General & Admin",-,68,98,121,186,253,682,530,461,405,393,402,429,434
Research & Development,-,220,255,289,394,441,726,547,543,452,402,496,444,529
Other Operating Expenses,0,0,0,0,0,0,663,0,0,0,0,0,0,0
Operating Expenses,-,288,353,410,580,694,"2,071","1,077","1,004",857,795,898,873,963
Operating Income,-,-288,-353,-410,-580,-776,"-2,454","-1,579","-1,708","-1,774","-1,795","-1,433","-1,285","-1,440"
Interest Expense / Income,-,2,2,5,1,1,22,22,24,24,33,38,54,55
Other Expense / Income,-,-2,-1,-1,-1,456,-15,-8,-23,-75,-105,-123,-144,-128
Pretax Income,-,-288,-354,-414,-580,"-1,233","-2,461","-1,593","-1,709","-1,723","-1,723","-1,348","-1,195","-1,367"
Income Tax,-,0,0,0,0,0,0,0,3,1,0,1,0,0
Net Income,-,-288,-354,-414,-580,"-1,233","-2,461","-1,593","-1,712","-1,724","-1,723","-1,349","-1,195","-1,367"
Shares Outstanding (Basic),98,100,104,101,101,101,204,901,908,918,925,930,942,952
Shares Outstanding (Diluted),-,100,104,101,101,101,204,901,908,918,925,930,942,952
Shares Change,-,-,-,-,3.06%,1.00%,96.15%,792.08%,799.01%,808.91%,353.43%,3.22%,3.74%,3.70%
EPS (Basic),-,-2.88,-3.44,-4.10,-5.74,-12.21,-0.93,-1.77,-1.89,-1.88,-1.87,-1.45,-1.27,-1.44
EPS (Diluted),-,-2.88,-3.44,-4.10,-5.74,-12.21,-0.93,-1.77,-1.89,-1.88,-1.87,-1.45,-1.27,-1.44
Free Cash Flow,-,-434,-575,-802,-920,"-1,152","-1,542","-1,452","-1,563","-1,666","-1,740","-1,804","-1,616","-1,067"
Free Cash Flow Per Share,-,-4.34,-5.53,-7.94,-9.11,-11.41,-7.56,-1.61,-1.72,-1.81,-1.88,-1.94,-1.72,-1.12
Gross Margin,-,-,-,-,-,-8200.00%,-709.26%,-528.42%,-193.41%,-171.08%,-150.83%,-80.94%,-36.75%,-35.68%
Operating Margin,-,-,-,-,-,-77600.00%,-4544.44%,-1662.11%,-469.23%,-330.97%,-270.74%,-216.79%,-114.63%,-107.70%
Profit Margin,-,-,-,-,-,-123300.00%,-4557.41%,-1676.84%,-470.33%,-321.64%,-259.88%,-204.08%,-106.60%,-102.24%
Free Cash Flow Margin,-,-,-,-,-,-115200.00%,-2855.56%,-1528.42%,-429.40%,-310.82%,-262.44%,-272.92%,-144.16%,-79.81%
EBITDA,-,-279,-340,-395,-558,"-1,183","-2,326","-1,453","-1,524","-1,525","-1,491","-1,122",-918,"-1,056"
EBITDA Margin,-,-,-,-,-,-118300.00%,-4307.41%,-1529.47%,-418.68%,-284.51%,-224.89%,-169.74%,-81.89%,-78.98%
Depreciation & Amortization,-,7,12,14,21,49,113,118,161,174,199,188,223,256
EBIT,-,-286,-352,-409,-579,"-1,232","-2,439","-1,571","-1,685","-1,699","-1,690","-1,310","-1,141","-1,312"
EBIT Margin,-,-,-,-,-,-123200.00%,-4516.67%,-1653.68%,-462.91%,-316.98%,-254.90%,-198.18%,-101.78%,-98.13%
