,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"2,543","1,994","2,252","2,666","4,658","4,363","3,103","3,520","4,350","3,449","3,700","5,270","4,859","4,205","4,264","4,927","3,491","4,080","3,847","3,429","4,337","3,892","3,019","4,216","4,896","4,148","5,528","5,563","5,141","4,990","5,469","6,208","5,051","4,275","5,173","4,710","3,943","3,809","4,720","5,502"
Cash & Cash Equivalents,"2,543","1,994","2,252","2,666","4,658","4,363","3,103","3,520","4,350","3,449","3,700","5,270","4,859","4,205","4,264","4,927","3,491","4,080","3,847","3,429","4,337","3,892","3,019","4,216","4,896","4,148","5,528","5,563","5,141","4,990","5,469","6,208","5,051","4,275","5,173","4,710","3,943","3,809","4,720","5,502"
Cash Growth,24.60%,-23.19%,-5.70%,-3.02%,83.17%,118.81%,37.79%,32.03%,-6.61%,-20.95%,19.24%,49.72%,11.70%,21.92%,15.24%,-6.51%,-28.15%,-2.97%,-9.78%,-30.40%,24.23%,-4.61%,-21.52%,22.95%,12.89%,6.58%,83.11%,31.95%,5.00%,20.30%,-1.07%,11.59%,-1.75%,-14.33%,-5.41%,-24.13%,-21.94%,-10.90%,-8.76%,16.82%
Receivables,"1,165",732,884,870,842,700,839,762,705,723,758,689,669,618,871,937,827,906,892,784,851,858,883,908,828,813,894,824,796,777,788,787,672,730,687,655,647,789,755,712
"Property, Plant & Equipment",481,481,482,449,429,428,422,430,427,443,467,476,433,444,442,439,434,448,448,435,443,559,562,562,581,586,584,584,601,578,563,542,538,538,512,488,530,528,500,445
Total Assets,"121,307","123,292","127,871","127,253","119,767","121,401","115,581","117,455","118,256","127,766","141,287","144,101","129,819","133,650","135,394","136,083","137,217","147,356","141,986","137,941","140,406","145,679","151,400","154,137","152,768","151,616","157,087","160,955","165,086","158,157","161,492","160,597","157,542","147,046","135,629","128,100","131,738","134,966","130,626","125,111"
Accounts Payable,"5,820","3,313","2,972","7,025","2,193","2,615","1,023",907,941,830,826,"1,053",526,"1,482",663,522,606,"5,368","3,712","1,970","1,052","1,969","1,557","2,189","1,876","2,969","2,275","1,495",964,"1,896","3,133","2,849","2,162","2,198","3,261","2,721","1,809","3,460","4,679","4,607"
Deferred Revenue,"10,642","10,779","10,715","9,742","8,626","8,460","8,102","8,121","7,857","8,286","8,726","8,401","6,916","6,825","6,547","6,262","5,959","6,084","5,600","5,224","5,090","4,859","4,763","4,544","4,243","4,044","3,854","3,729","3,597","3,194","3,005","2,814","2,576","2,318","1,971","1,763","1,825","1,743","1,544","1,447"
Total Liabilities,"106,687","107,616","110,313","109,400","101,420","102,764","98,563","100,200","100,548","107,745","118,737","121,316","109,337","113,310","113,891","114,106","112,619","123,069","118,186","114,707","116,944","119,630","123,159","124,699","123,809","125,214","127,667","128,476","131,527","126,054","127,757","127,045","124,289","117,519","109,242","103,948","111,598","115,182","110,187","102,442"
Total Debt,"4,897","4,913","4,925","4,558","5,282","6,282","5,425","5,009","4,971","4,984","5,009","5,765","5,360","5,250","5,252","5,248","5,289","5,372","5,315","5,279","5,778","5,900","6,231","6,233","6,569","6,758","7,771","7,825","7,899","8,088","8,121","8,066","7,956","7,768","7,416","7,518","7,442","7,420","7,087","6,961"
Debt Growth,12.52%,14.71%,-0.42%,-7.97%,7.86%,27.86%,10.15%,9.89%,-5.89%,-20.66%,-7.67%,15.09%,7.83%,5.34%,4.85%,-8.97%,-1.32%,2.32%,1.20%,0.59%,9.25%,9.83%,17.23%,18.07%,13.69%,14.54%,24.72%,25.54%,20.25%,19.68%,4.50%,3.08%,0.72%,-3.96%,-8.68%,-6.79%,-6.46%,-4.48%,-4.44%,-7.41%
Common Stock,"-4,702","-5,078","-5,137","-5,275","-5,788","-6,343","-6,541","-6,724","-6,924","-7,480","-7,826","-7,983","-8,129","-8,692","-8,840","-9,043","-9,325","-9,581","-9,861","-10,136","-10,477","-10,945","-11,253","-11,523","-11,947","-12,385","-12,534","-12,898","-13,359","-13,981","-14,446","-14,940","-15,521","-15,999","-16,612","-17,229","-17,798","-18,493","-19,160","-19,828"
Retained Earnings,"19,885","20,447","21,089","21,628","22,156","22,648","23,052","23,451","24,007","24,565","24,944","25,404","25,981","26,400","26,942","27,489","29,895","30,183","30,809","31,461","31,788","32,513","33,130","33,710","34,291","34,599","35,204","37,460","37,984","39,277","40,162","40,830","41,381","42,413","43,547","44,892","44,367","45,555","46,937","48,257"
Comprehensive Income,-563,307,"1,606","1,500","1,979","2,332",507,528,625,"2,936","5,432","5,364","2,630","2,632","3,401","3,531","4,028","3,685","2,852","1,909","2,151","4,481","6,364","7,251","6,615","4,188","6,750","7,917","8,934","6,807","8,019","7,662","7,393","3,113",-548,"-3,511","-6,429","-7,278","-7,338","-5,760"
Shareholders' Equity,"14,620","15,676","17,558","17,853","18,347","18,637","17,018","17,255","17,708","20,021","22,550","22,785","20,482","20,340","21,503","21,977","24,598","24,287","23,800","23,234","23,462","26,049","28,241","29,438","28,959","26,402","29,420","32,479","33,559","32,103","33,735","33,552","33,253","29,527","26,387","24,152","20,140","19,784","20,439","22,669"
Net Cash / Debt,"-2,354","-2,919","-2,673","-1,892",-624,"-1,919","-2,322","-1,489",-621,"-1,535","-1,309",-495,-501,"-1,045",-988,-321,"-1,798","-1,292","-1,468","-1,850","-1,441","-2,008","-3,212","-2,017","-1,673","-2,610","-2,243","-2,262","-2,758","-3,098","-2,652","-1,858","-2,905","-3,493","-2,243","-2,808","-3,499","-3,611","-2,367","-1,459"
Net Cash Per Share,-2.53,-3.19,-2.93,-2.08,-0.69,-2.18,-2.67,-1.73,-0.73,-1.82,-1.58,-0.60,-0.61,-1.29,-1.24,-0.40,-2.28,-1.65,-1.89,-2.40,-1.88,-2.66,-4.29,-2.71,-2.27,-3.59,-3.12,-3.17,-3.92,-4.48,-3.89,-2.77,-4.39,-5.35,-3.49,-4.44,-5.62,-5.88,-3.93,-2.46
Book Value Per Share,15.82,17.24,19.40,19.78,20.55,21.31,19.71,20.12,20.83,23.91,27.38,27.89,25.17,25.35,27.12,27.86,31.37,31.20,30.79,30.29,30.87,34.67,37.90,39.78,39.49,36.45,40.98,45.64,47.88,46.60,49.75,50.17,50.46,45.44,41.18,38.38,32.50,32.37,34.02,38.34
