,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net Income,94.88,86.5,109.45,133.41,126.48,192.12,236.41,392.08,373.54,429.38
Depreciation & Amortization,32.63,33.89,31.63,36.21,30.18,31.61,50.38,41.69,36.39,29.35
Share-Based Compensation,35.59,57.84,79.69,61.22,74.81,82.97,93.68,112.46,115.36,123.85
Other Operating Activities,11.93,-31.46,-10.51,-5.21,-8.43,-46.36,-15.55,-122.42,-15.83,-113.65
Operating Cash Flow,175.03,146.77,210.27,225.64,223.05,260.35,364.92,423.82,509.45,468.92
Operating Cash Flow Growth,28.59%,-16.15%,43.26%,7.31%,-1.15%,16.72%,40.16%,16.14%,20.21%,-7.96%
Capital Expenditures,-12.59,-25,-21.97,-19.83,-31.3,-23.98,-21.99,-7.57,-6.03,-4.24
Acquisitions,-7.25,-56.99,-5.68,0,0,-15.86,0,147.43,2.26,-6.13
Change in Investments,0,0.08,0.04,-0.78,17.18,-2.92,-2.59,-2.01,-1.9,-5.59
Investing Cash Flow,-19.84,-81.92,-27.62,-20.61,-14.12,-42.76,-24.58,137.85,-5.67,-15.95
Dividends Paid,-2.71,-2.51,-2.49,-1.24,0,0,0,0,0,0
Share Issuance / Repurchase,-198.19,-112.46,-120.57,-173.16,-331.57,-206.11,-192.97,-853.3,"-1,088.15",-383.33
Debt Issued / Paid,76,62,-37,34,165,59.06,13.28,422.82,600.75,5
Other Financing Activities,-5.49,-19.46,-29.96,-40.23,-52.05,-53,-109.74,-93.1,-59.76,-76.67
Financing Cash Flow,-130.39,-72.43,-190.02,-180.63,-218.63,-200.05,-289.42,-523.57,-547.17,-455
Exchange Rate Effect,-2.9,-11.38,-2.83,5.28,-5.9,-1.14,0.06,-0.14,-18.77,5.62
Net Cash Flow,21.9,-18.96,-10.19,29.69,-15.6,16.4,50.97,37.96,-62.15,3.58
Free Cash Flow,162.44,121.77,188.3,205.82,191.75,236.37,342.93,416.25,503.42,464.68
Free Cash Flow Growth,45.07%,-25.04%,54.63%,9.30%,-6.83%,23.27%,45.08%,21.38%,20.94%,-7.70%
Free Cash Flow Margin,20.59%,14.52%,21.36%,22.01%,19.17%,20.38%,26.49%,31.62%,36.55%,30.70%
Free Cash Flow Per Share,4.80,3.88,6.05,6.67,6.45,8.16,11.80,14.49,19.33,18.60
