,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"71,028","71,517","63,443","70,290","69,722","69,796","73,181","29,773","32,994","28,124","26,896","37,145","33,191","36,492","37,795","41,164","39,422","40,726","36,042","32,675","27,027","33,979","34,425","32,695","29,376","23,930","36,760","36,464","34,639","41,670","47,831","45,289","41,629","33,642","23,329","20,222","22,504","23,821","23,887","23,463","22,551"
Market Cap Growth,7.63%,1.74%,-5.48%,-2.68%,-1.84%,-2.41%,15.35%,-57.64%,-52.68%,-59.71%,-63.25%,24.76%,0.60%,29.75%,40.52%,10.82%,18.77%,11.60%,-4.64%,-20.62%,-31.44%,-16.57%,-4.48%,0.06%,8.69%,-29.57%,6.78%,11.53%,17.92%,74.13%,30.12%,24.20%,20.18%,-19.27%,-51.23%,-55.35%,-45.94%,-29.19%,2.39%,16.02%,-
Enterprise Value,"63,337","65,057","58,456","64,333","69,514","64,202","67,097","31,911","33,612","29,147","27,864","38,131","35,002","38,704","40,244","45,132","43,574","45,148","41,239","37,044","31,343","39,335","39,773","37,859","34,844","28,695","40,545","40,938","39,208","45,674","39,958","40,034","43,588","36,887","28,280","24,889","24,322","25,067","24,854","22,824","21,912"
PE Ratio,24.87,-486.51,-571.56,-553.46,1515.69,23.28,30.43,13.11,19.13,17.79,13.91,20.56,4.57,4.67,5.10,5.47,-38.76,-24.76,-34.92,-39.32,10.68,12.87,14.34,16.43,16.45,5.11,7.32,6.78,6.11,14.39,3.71,3.63,3.06,2.89,64.62,722.22,-17.73,37.28,17.81,8.64,8.69
PS Ratio,8.60,8.15,7.05,9.69,7.93,6.56,8.47,3.47,3.84,3.25,3.06,4.17,3.57,3.86,3.92,4.14,3.97,3.99,3.46,3.09,3.12,4.01,4.17,4.25,3.95,3.12,4.85,4.70,3.90,4.29,4.76,4.40,4.00,3.28,2.33,2.04,2.30,2.42,2.40,2.33,2.24
PB Ratio,3.00,3.65,3.34,3.55,3.50,3.57,3.70,4.59,5.02,4.45,4.17,5.45,3.15,3.15,3.29,3.65,4.90,5.36,5.04,4.72,4.30,6.53,8.38,10.00,10.24,11.32,12.67,12.49,9.73,11.05,3.68,4.14,4.26,4.77,4.45,4.17,4.37,4.42,4.53,3.98,3.82
P/FCF Ratio,16.45,15.39,12.04,12.51,13.79,13.57,15.19,7.64,9.81,10.07,10.96,14.14,15.09,16.86,18.30,18.99,15.90,17.18,17.66,19.22,13.28,16.43,13.82,10.75,11.27,8.76,12.27,17.79,17.71,17.22,19.05,17.25,18.81,18.86,25.00,13.81,12.47,12.01,10.14,9.37,9.00
P/OCF Ratio,14.22,13.67,11.10,12.23,12.28,12.34,13.77,6.43,8.18,7.98,8.59,11.44,11.74,13.19,13.98,14.82,12.53,13.31,13.19,13.54,10.17,12.52,11.16,9.25,9.43,7.58,10.89,14.75,14.32,14.52,16.09,14.51,15.67,15.10,16.80,10.85,9.98,9.60,8.37,7.85,7.55
Debt / Equity Ratio,0.17,0.21,0.28,0.38,0.38,0.39,0.38,1.15,1.03,1.43,1.40,1.32,0.85,0.77,1.00,0.89,1.24,1.21,1.29,1.33,1.47,1.88,2.39,2.52,2.86,4.35,3.13,2.79,2.26,1.96,0.72,0.85,0.95,1.25,1.56,1.68,1.80,1.51,1.54,1.37,1.37
Quick Ratio,1.74,1.34,1.20,1.47,0.48,1.41,1.51,1.33,2.98,4.09,3.95,2.30,2.01,1.66,2.10,2.09,1.84,2.14,1.82,1.40,1.26,1.15,1.01,1.03,0.81,1.08,1.31,1.08,1.04,0.92,3.52,2.87,1.73,1.24,0.96,1.04,1.93,2.39,2.23,2.01,2.01
Current Ratio,1.84,1.42,1.28,1.56,1.51,1.51,1.67,1.87,3.49,4.61,4.49,2.60,2.31,1.92,2.37,2.46,2.18,2.63,2.37,1.74,1.60,1.48,1.31,1.41,1.16,1.34,1.58,1.76,1.80,1.30,3.96,3.35,1.97,1.48,1.28,1.33,2.17,2.68,2.45,2.16,2.16
Return on Capital (ROIC),Upgrade,7.32%,-4.12%,-3.74%,-3.73%,-1.43%,8.85%,6.84%,13.16%,12.24%,10.87%,12.51%,11.93%,16.77%,18.40%,14.69%,15.86%,-8.97%,-13.11%,-11.43%,-11.63%,10.19%,10.78%,12.13%,14.01%,14.72%,15.11%,15.32%,18.37%,18.33%,20.31%,10.82%,11.36%,13.74%,16.60%,18.14%,19.84%,15.53%,14.70%,13.26%,11.17%
Dividend Yield,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.40%,0.70%,1.10%,1.60%,1.90%,1.10%,1.20%,1.30%,1.10%,1.00%,1.00%,1.10%,1.30%,1.90%,2.30%,2.10%,2.10%,2.10%,2.20%,2.30%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,24.10%,29.80%,37.80%,20.90%,3.50%,15.10%,16.80%,12.70%,19.10%,1.10%,43.90%,5.20%,-9.60%,-23.20%,-169.20%,18.80%,23.60%,78.10%,10.10%,20.00%
Buyback Yield / Dilution,0.68%,3.26%,3.50%,4.50%,6.11%,3.68%,3.31%,2.24%,2.28%,4.80%,6.20%,6.87%,7.07%,5.81%,5.05%,5.36%,12.00%,6.62%,7.97%,8.81%,3.46%,11.76%,13.65%,14.85%,14.23%,16.63%,17.99%,15.41%,14.37%,8.45%,3.66%,7.06%,11.33%,15.30%,18.83%,16.72%,12.14%,7.84%,3.42%,2.92%,2.92%
Total Shareholder Return,0.68%,3.26%,3.50%,4.50%,6.11%,3.68%,3.31%,2.24%,2.28%,4.80%,6.20%,6.87%,7.07%,5.81%,5.05%,5.36%,12.00%,6.62%,7.97%,8.81%,3.46%,12.16%,14.35%,15.95%,15.83%,18.53%,19.09%,16.61%,15.67%,9.55%,4.66%,8.06%,12.43%,16.60%,20.73%,19.02%,14.24%,9.94%,5.52%,5.12%,5.22%
