,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"71,028","69,722","32,994","33,191","39,422","27,027","29,376","34,639","41,629","22,504","22,551"
Market Cap Growth,7.63%,-1.84%,-52.68%,0.60%,18.77%,-31.44%,8.69%,17.92%,20.18%,-45.94%,-
Enterprise Value,"63,337","69,514","33,612","35,002","43,574","31,343","34,844","39,208","43,588","24,322","21,912"
PE Ratio,24.87,1515.69,19.13,4.57,-38.76,10.68,16.45,6.11,3.06,-17.73,8.69
PS Ratio,8.60,7.93,3.84,3.57,3.97,3.12,3.95,3.90,4.00,2.30,2.24
PB Ratio,3.00,3.50,5.02,3.15,4.90,4.30,10.24,9.73,4.26,4.37,3.82
P/FCF Ratio,16.45,13.79,9.81,15.09,15.90,13.28,11.27,17.71,18.81,12.47,9.00
P/OCF Ratio,14.22,12.28,8.18,11.74,12.53,10.17,9.43,14.32,15.67,9.98,7.55
EV/Sales Ratio,7.67,7.91,3.91,3.76,4.39,3.62,4.69,4.41,4.18,2.48,2.18
EV/EBITDA Ratio,15.76,16.92,11.71,8.11,14.79,9.54,13.38,5.52,3.06,-21.08,5.60
EV/EBIT Ratio,18.85,20.29,15.39,9.64,19.19,11.82,17.38,6.01,3.17,-15.24,6.26
EV/FCF Ratio,14.67,13.75,9.99,15.91,17.57,15.40,13.37,20.05,19.70,13.47,8.75
Debt / Equity Ratio,0.17,0.38,1.03,0.85,1.24,1.47,2.86,2.26,0.95,1.80,1.37
Debt / EBITDA Ratio,1.03,1.86,2.35,2.08,3.40,2.81,3.16,1.13,0.65,-8.05,2.06
Debt / FCF Ratio,0.96,1.51,2.01,4.07,4.04,4.54,3.15,4.12,4.19,5.15,3.22
Quick Ratio,1.74,0.48,2.98,2.01,1.84,1.26,0.81,1.04,1.73,1.93,2.01
Current Ratio,1.84,1.51,3.49,2.31,2.18,1.60,1.16,1.80,1.97,2.17,2.16
Asset Turnover,0.21,0.21,0.27,0.44,0.38,0.36,0.37,0.46,0.39,0.47,0.49
Return on Equity (ROE),12.80%,0.20%,13.20%,96.50%,-9.60%,36.20%,46.20%,197.10%,145.10%,-22.80%,50.00%
Return on Assets (ROA),7.20%,0.10%,5.50%,34.60%,-3.90%,10.70%,8.90%,29.60%,51.10%,-6.10%,13.20%
Return on Capital (ROIC),7.51%,0.12%,13.02%,23.85%,-5.61%,10.78%,14.22%,19.70%,15.17%,16.27%,11.63%
Earnings Yield,4.02%,0.07%,5.23%,21.89%,-2.58%,9.36%,6.08%,16.36%,32.69%,-5.64%,12.04%
FCF Yield,6.08%,7.25%,10.20%,6.63%,6.29%,7.53%,8.87%,5.65%,5.32%,8.02%,11.11%
Dividend Yield,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.60%,1.30%,1.10%,2.10%,2.30%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,26.70%,8.00%,3.40%,-38.80%,20.00%
Buyback Yield / Dilution,-0.23%,4.72%,2.48%,6.23%,6.99%,6.86%,13.62%,16.12%,7.66%,15.84%,2.92%
Total Shareholder Return,-0.23%,4.72%,2.48%,6.23%,6.99%,6.86%,15.22%,17.42%,8.76%,17.94%,5.22%
