,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,19.39,25.48,47.94,73.51,25.17,32.48,53.73,17.61,47.88,34.81,5.31,55.87,-33.22,48.37,59.67,85.14,52.66,47.84,69.72,78.91,90.45,51.73,56.97,40.29,-25.33,19.05,12.69,38.49,80.66,95.49,117.41,67.86,195.23,104.8,87.58,95.26,97.28,86.78,89.08,86.36
Depreciation & Amortization,37.91,36.02,36.43,37.44,35.99,36.23,37.03,37.58,38.72,40.3,40.71,42.61,60.05,92.23,91.47,90.44,88.53,89.1,89.18,92.88,97.19,93.59,91.86,91.64,89.3,85.06,84.81,86.74,77.26,74.22,75.46,76.4,77.84,79.35,80.27,82.24,82.71,83.16,87.51,98.91
Share-Based Compensation,2.47,2.89,2.13,3.55,3.53,2.67,1.57,3.52,2.47,3.15,3.19,3.5,13.19,2.58,3.95,4.67,3.44,3.68,4.37,1.06,5.79,4.5,3.98,5.24,-1.01,7.78,5.26,1.55,3.56,5.19,3.23,5.11,1.91,-0.41,3.08,5.82,6.26,5.54,4.56,8.51
Other Operating Activities,-12.77,-2.33,6.45,-59.84,-15.51,-3.69,-8.25,4.81,-17.51,-9.04,19.57,-35.4,-19.22,0.11,10.12,-55.9,5.25,10.41,0.58,-27.27,-62.07,8.15,27.23,14.74,62.72,-20.15,54.42,-2.24,-22.11,11.03,-12.9,1.55,-132.09,1.13,29.56,-55.74,-24.15,-2.9,30.23,-25.28
Operating Cash Flow,52.26,67.33,98.21,59.93,54.46,72.96,89.35,68.78,76.82,74.48,74.04,71.84,32.66,144.41,168.36,124.36,149.87,151.04,163.85,145.57,131.36,157.96,180.03,151.92,125.68,91.74,157.17,124.53,139.36,185.93,183.19,150.91,142.89,184.87,200.49,127.57,162.1,172.58,213.01,171.91
Operating Cash Flow Growth,26.60%,-1.06%,7.66%,19.46%,4.20%,8.35%,-9.03%,14.76%,41.06%,2.09%,-17.14%,4.45%,-57.49%,93.90%,127.40%,73.09%,358.93%,4.59%,-2.68%,17.06%,-12.35%,4.58%,9.88%,4.36%,-4.33%,-41.92%,-12.70%,-18.03%,10.89%,102.66%,16.56%,21.18%,2.53%,-0.57%,9.44%,-15.46%,13.44%,-6.65%,6.25%,34.75%
Capital Expenditures,-42.18,-43.8,-11.79,-21.69,-55.63,-31.42,29.81,-41.29,-6.03,-32.54,-24.53,-35.19,-61.57,-85.05,-80.89,-14.26,-48.74,-29.33,55.07,47.26,42.6,-39.18,-33.51,-32.36,47.31,-39.45,-31.52,32.29,22.48,12.36,-23.81,17.53,71.32,-34.37,-43.4,-45.84,-40.97,-55.4,-52.28,-73.04
Acquisitions,-74.78,12.55,-11.88,-24.43,1.37,12.3,-62.53,9.63,-0.63,-276.4,-15.54,-20.48,-624.97,5.09,-5.06,-133.5,-57.07,-73.84,-7.89,-6.08,5.03,-21.56,-216.89,7.63,-49.84,14.12,-5.87,5.51,-16.44,54.26,-51.27,-302.13,-13.45,-89.4,-3.52,-51.06,-0.6,1.14,-88.53,-41.59
Change in Investments,-0.09,-14.33,0.01,22.13,-0.83,-2.5,1.07,0.67,-0.68,0.25,1.51,1.62,0.03,-1.71,-3.61,-1.73,-1.39,16.47,-0.45,-0.02,-0.63,0.23,-2.4,-1,-0.03,-0.24,-0.01,-5.88,0.73,-0.35,0.47,-0.18,0.48,0.16,0.31,2.66,2.52,1.9,0.69,4.18
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.35,-,-,-,7.96,-,-,-,-,-,-,-,-,-,-,-,-
