,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30,2017-07-31,2017-10-31,2018-01-31,2018-04-30,2018-07-31,2018-10-31,2019-01-31,2019-04-30,2019-07-31,2019-10-31,2020-01-31,2020-04-30,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30,2022-07-31,2022-10-31,2023-01-31,2023-04-30,2023-07-31,2023-10-31,Current
Market Capitalization,"5,966","6,313","7,712","7,913","7,592","8,599","8,600","7,407","6,331","7,408","8,840","8,581","9,006","9,803","11,915","11,761","11,955","11,212","12,792","12,693","13,724","14,315","16,697","14,426","17,019","15,290","15,090","17,018","17,883","20,196","20,771","20,556","19,679","17,800","16,133","13,491","17,221","18,865","19,370","15,439","18,483"
Market Cap Growth,21.40%,18.35%,24.47%,25.12%,27.27%,36.21%,11.51%,-6.40%,-16.61%,-13.85%,2.79%,15.85%,42.25%,32.34%,34.78%,37.06%,32.74%,14.37%,7.36%,7.93%,14.80%,27.67%,30.53%,13.65%,24.01%,6.81%,-9.63%,17.97%,5.08%,32.09%,37.65%,20.79%,10.04%,-11.86%,-22.33%,-34.37%,-12.49%,5.98%,20.07%,14.44%,-
Enterprise Value,"6,282","6,566","7,887","9,271","8,971","9,929","9,891","8,740","7,693","8,805","10,222","9,813","10,340","11,069","13,082","12,844","14,266","13,531","14,930","14,638","15,710","16,137","18,397","16,163","18,992","17,374","17,111","18,966","19,859","22,102","22,546","21,941","22,935","20,915","19,020","16,116","19,798","21,393","21,847","17,888","20,932"
PE Ratio,20.34,21.23,26.01,29.33,29.29,35.72,43.52,36.40,32.68,35.77,35.35,31.33,30.19,29.79,34.56,31.54,68.47,85.85,100.09,90.73,37.54,33.52,37.40,30.91,37.49,44.56,54.24,71.39,7.95,8.58,7.12,6.98,20.96,18.78,37.47,34.97,45.90,65.41,70.36,52.48,62.95
PS Ratio,3.70,3.85,4.64,4.61,4.32,4.83,4.75,4.12,3.51,4.00,4.64,4.36,4.47,4.77,5.68,5.50,5.36,4.79,5.24,5.01,5.34,5.52,6.39,5.44,6.37,6.02,6.18,7.00,7.25,7.59,7.30,7.03,6.50,5.67,5.01,4.08,5.10,5.50,5.51,4.30,5.14
PB Ratio,2.45,2.48,2.90,3.08,3.04,3.30,3.20,2.78,2.44,2.71,3.24,3.18,3.20,3.34,3.85,3.70,3.79,3.52,3.97,3.84,4.01,4.04,4.62,3.98,4.56,4.22,4.01,4.45,2.99,3.28,3.06,2.96,2.84,2.54,2.28,1.88,2.35,2.56,2.57,2.05,2.45
P/FCF Ratio,26.27,29.30,37.97,36.51,33.89,39.78,44.41,50.08,35.68,41.88,36.07,24.04,22.96,22.35,26.05,25.22,33.07,29.29,28.47,26.71,26.24,25.53,33.45,34.26,37.06,65.45,83.83,96.58,86.27,48.84,39.49,39.21,36.36,36.55,30.78,29.95,40.51,48.71,87.41,71.81,85.97
P/OCF Ratio,13.65,14.08,17.02,17.40,16.29,19.09,19.61,18.95,15.81,19.10,21.01,16.84,17.04,17.43,20.27,19.81,23.38,20.36,20.26,18.98,18.43,18.16,22.27,20.23,22.96,27.69,32.23,34.97,35.44,30.08,26.55,27.83,26.00,25.57,21.91,19.48,24.85,27.52,34.34,25.41,30.43
Debt / Equity Ratio,0.14,0.13,0.13,0.54,0.56,0.52,0.49,0.51,0.53,0.53,0.53,0.49,0.51,0.47,0.39,0.37,0.76,0.78,0.71,0.61,0.62,0.54,0.50,0.50,0.55,0.60,0.57,0.54,0.35,0.33,0.28,0.21,0.51,0.50,0.44,0.39,0.37,0.36,0.34,0.34,0.34
Quick Ratio,0.98,1.22,1.46,0.68,0.76,0.53,0.56,0.53,0.85,1.07,1.16,0.72,0.74,1.26,1.03,1.02,1.22,1.30,1.15,0.84,0.57,0.53,0.58,0.47,0.45,0.44,0.51,0.55,0.60,0.60,0.61,0.83,0.48,0.56,0.57,0.54,0.76,0.71,0.75,0.75,0.75
Current Ratio,2.61,2.89,3.01,1.79,2.06,1.49,1.54,1.48,2.43,2.84,2.90,1.73,1.71,2.79,2.51,2.41,2.83,2.76,2.58,2.03,1.27,1.21,1.29,1.05,1.08,1.14,1.17,1.27,1.35,1.33,1.39,2.00,1.02,1.05,1.16,1.20,1.72,1.69,1.72,1.76,1.76
Interest Coverage,48.73,57.06,63.56,11.58,17.97,15.19,10.45,8.56,10.51,11.83,12.64,13.98,11.97,15.22,13.98,10.56,5.07,3.89,4.96,5.94,6.15,7.92,8.60,9.74,9.40,1.70,12.65,14.99,22.80,23.36,17.79,25.32,19.47,16.16,7.86,4.18,5.68,3.51,5.43,5.05,4.92
Return on Capital (ROIC),Upgrade,11.56%,11.26%,10.76%,7.10%,7.02%,6.51%,5.45%,5.62%,5.46%,5.58%,6.69%,7.48%,7.75%,8.33%,8.63%,9.34%,3.10%,2.55%,2.99%,3.28%,8.00%,9.16%,9.33%,9.81%,8.93%,7.12%,5.71%,4.86%,27.12%,27.88%,33.19%,34.53%,9.57%,9.31%,4.30%,4.19%,4.17%,3.73%,3.60%,3.74%
Dividend Yield,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
Payout Ratio,2.00%,0.00%,1.60%,0.00%,2.40%,0.00%,3.30%,0.00%,2.80%,0.00%,1.70%,0.00%,1.90%,0.00%,1.40%,0.00%,-1.20%,0.00%,1.50%,0.00%,1.40%,0.00%,1.20%,0.00%,1.60%,0.00%,2.70%,0.00%,0.10%,0.00%,0.20%,0.00%,1.60%,0.00%,1.50%,0.00%,1.80%,0.00%,1.70%,0.00%,1.02%
Buyback Yield / Dilution,1.26%,1.46%,1.67%,1.47%,-0.16%,-0.84%,-0.66%,-0.39%,0.57%,0.53%,0.50%,0.06%,-1.23%,-1.23%,-1.22%,-1.22%,1.01%,-0.20%,-0.20%,-0.20%,-2.04%,-0.81%,-0.80%,-,0.40%,0.80%,1.20%,0.80%,-,-0.20%,-0.61%,-1.01%,-0.40%,-0.20%,0.40%,0.80%,0.40%,-0.20%,-0.60%,-0.20%,-0.20%
Total Shareholder Return,1.26%,1.46%,1.67%,1.47%,-0.16%,-0.84%,-0.66%,-0.39%,0.57%,0.53%,0.50%,0.06%,-1.23%,-1.23%,-1.22%,-1.22%,1.01%,-0.20%,-0.20%,-0.20%,-2.04%,-0.81%,-0.80%,-,0.40%,0.80%,1.20%,0.80%,-,-0.20%,-0.61%,-1.01%,-0.40%,-0.20%,0.40%,0.80%,0.40%,-0.20%,-0.60%,-0.20%,-0.19%
