,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash & Equivalents,Upgrade,3.61,5.08,2.56,5,14.95,2.55,0.69,141.32,303.01,114.86
Short-Term Investments,Upgrade,0.01,0,0,0,0,0,0,2.27,319.14,121.84
Cash & Cash Equivalents,Upgrade,3.62,5.08,2.56,5,14.95,2.55,0.69,143.59,622.16,236.7
Cash Growth,Upgrade,52.81%,40.54%,-49.73%,95.62%,199.07%,-82.93%,-72.79%,20587.74%,333.27%,-61.96%
Receivables,Upgrade,0.27,0.22,0.14,0.1,0.01,0,0,74.77,26.93,0.02
Other Current Assets,Upgrade,0.75,2.38,2.09,0.43,0.09,0.46,0.8,68.05,35.15,40.83
Total Current Assets,Upgrade,4.64,7.68,4.78,5.52,15.05,3.02,1.49,286.41,684.24,277.55
"Property, Plant & Equipment",Upgrade,0.01,0.05,0.06,0.03,0.01,1.03,4.05,17.42,276.24,274.3
Long-Term Investments,Upgrade,0,0,0,0,0,0,0,0,3,146.78
Goodwill and Intangibles,Upgrade,8.3,48.26,29.94,12.54,0,1.14,1.07,1,0.93,0
Other Long-Term Assets,Upgrade,0,4.79,12.45,0.2,0,0,0,8.42,479.92,496.62
Total Long-Term Assets,Upgrade,8.32,53.1,42.45,12.77,0.01,2.18,5.13,26.84,760.1,917.7
Total Assets,Upgrade,12.96,60.79,47.23,18.29,15.06,5.19,6.62,313.25,"1,444","1,195"
Accounts Payable,Upgrade,0.75,3.29,6.53,7.22,1.96,1.24,1.75,1,7.77,2.48
Current Debt,Upgrade,0,16.56,10.38,13.16,1.76,1,0.09,0.12,0,0.33
Other Current Liabilities,Upgrade,0,2.09,0.03,0.08,3.94,0.04,0.01,0.32,3.48,23.31
Total Current Liabilities,Upgrade,0.75,21.95,16.95,20.46,7.67,2.27,1.85,1.44,11.25,26.12
Long-Term Debt,Upgrade,0,5.4,12.22,4.67,0,0,1.12,0.06,728.41,783.19
Other Long-Term Liabilities,Upgrade,0.03,9.18,5.38,2.44,0,0,0,0,22.58,0
Total Long-Term Liabilities,Upgrade,0.03,14.59,17.6,7.11,0,0,1.12,0.06,750.98,783.19
Total Liabilities,Upgrade,0.79,36.53,34.55,27.58,7.67,2.27,2.97,1.51,762.23,809.3
Total Debt,Upgrade,0,21.96,22.61,17.83,1.76,1,1.21,0.18,728.41,783.51
Debt Growth,Upgrade,-,-,2.93%,-21.12%,-90.11%,-43.36%,20.86%,-84.75%,395566.39%,7.57%
Common Stock,Upgrade,22.67,36.98,43.22,49.88,97.11,105.46,109.71,428.25,835.7,"1,226"
Retained Earnings,Upgrade,-10.49,-12.34,-29.28,-57.94,-89.28,-102.09,-105.61,-116.06,-153.6,-840.34
Comprehensive Income,Upgrade,-0.01,-0.39,-1.27,-1.06,-0.45,-0.45,-0.45,-0.45,0,0
Shareholders' Equity,Upgrade,12.18,24.25,12.68,-9.12,7.39,2.92,3.65,311.74,682.1,385.94
Net Cash / Debt,Upgrade,3.62,-16.88,-20.05,-12.83,13.18,1.55,-0.51,143.41,-106.25,-546.82
Net Cash / Debt Growth,Upgrade,52.81%,-,-,-,-,-88.23%,-,-,-,-
Net Cash Per Share,Upgrade,6.28,-23.16,-22.58,-13.53,8.09,0.29,-0.08,1.76,-1.07,-4.82
Working Capital,Upgrade,3.88,-14.26,-12.17,-14.94,7.38,0.74,-0.36,284.97,672.99,251.43
Book Value Per Share,Upgrade,21.16,33.28,14.27,-9.62,4.53,0.55,0.55,3.83,6.87,3.40
