,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,34,114,24,26,36,9,7,550,"3,372",400,"5,998"
Market Cap Growth,-,239.90%,-79.20%,8.97%,38.37%,-74.23%,-25.11%,7839.97%,513.61%,-88.15%,-
Enterprise Value,30,131,44,39,23,8,7,406,"3,479",946,"5,928"
PE Ratio,-9.75,-36.26,-1.40,-0.90,-1.14,-0.72,-1.97,-52.60,-90.91,-0.58,-3.99
PS Ratio,9.84,5.34,1.25,0.71,69.02,5.92,5.84,126.14,21.19,3.39,23.14
PB Ratio,2.76,4.72,1.88,-2.84,4.86,3.17,1.90,1.76,4.94,1.03,5.88
P/FCF Ratio,-7.18,-33.49,-7.88,4.00,-3.32,-0.67,-2.08,-21.54,-11.52,-10.19,-4.08
P/OCF Ratio,-22.14,25.67,-8.03,2.55,-3.32,-1.12,-2.09,-70.71,-177.82,-2.26,-4.68
EV/Sales Ratio,8.78,6.13,2.31,1.06,43.65,4.92,6.27,93.23,21.86,8.04,22.87
EV/EBITDA Ratio,-12.47,-21.01,-2.10,-2.77,-0.75,-0.72,-3.02,-55.18,1780.29,-1.54,-5.56
EV/EBIT Ratio,-8.70,-20.99,-2.10,-2.77,-0.75,-0.61,-2.15,-38.96,-268.62,-1.36,-3.75
EV/FCF Ratio,-6.41,-38.43,-14.52,5.98,-2.10,-0.56,-2.24,-15.92,-11.88,-24.13,-3.89
Debt / Equity Ratio,-,0.91,1.78,-1.95,0.24,0.34,0.33,0.00,1.07,2.03,0.32
Debt / EBITDA Ratio,-,-3.52,-1.08,-1.27,-0.06,-0.09,-0.49,-0.03,372.78,-1.27,-1.28
Debt / FCF Ratio,-,-6.43,-7.49,2.75,-0.16,-0.07,-0.36,-0.01,-2.49,-19.98,-0.90
Quick Ratio,5.15,0.24,0.16,0.25,1.95,1.12,0.37,151.24,57.70,9.06,10.38
Current Ratio,6.15,0.35,0.28,0.27,1.96,1.33,0.81,198.38,60.82,10.63,11.33
Asset Turnover,0.34,0.54,0.31,0.98,0.04,0.17,0.21,0.05,0.19,0.08,0.20
Interest Coverage,-3208.61,-11.51,-4.91,-4.46,-23.00,-155.42,-66.75,-496.43,-8.25,-46.30,-27.28
Return on Equity (ROE),-35.80%,-14.40%,-100.40%,-371.60%,529.40%,-201.60%,-127.70%,-11.60%,-5.70%,-112.40%,-58.30%
Return on Assets (ROA),-34.20%,-8.00%,-27.80%,-76.70%,-224.80%,-137.50%,-60.90%,-11.40%,-4.40%,-48.00%,-28.20%
Return on Capital (ROIC),-30.18%,-13.43%,-72.78%,-178.93%,-154.98%,-308.07%,-87.31%,-3.15%,-0.90%,-56.77%,-34.19%
Earnings Yield,-10.26%,-2.76%,-71.21%,-110.59%,-87.36%,-138.63%,-50.81%,-1.90%,-1.10%,-171.86%,-6.19%
FCF Yield,-13.93%,-2.99%,-12.69%,25.01%,-30.16%,-148.65%,-48.02%,-4.64%,-8.68%,-9.81%,-6.05%
Buyback Yield / Dilution,-65.17%,-26.63%,-21.85%,-6.82%,-71.90%,-226.00%,-25.36%,-1121.57%,-22.02%,-14.22%,-62.62%
Total Shareholder Return,-65.17%,-26.63%,-21.85%,-6.82%,-71.90%,-226.00%,-25.36%,-1121.57%,-22.02%,-14.22%,-62.62%
