,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"59,063","49,545","53,635","58,877","61,100","66,492","67,480","80,668","79,302",-,"70,839"
Market Cap Growth,21.23%,-16.12%,8.26%,9.77%,3.78%,8.82%,1.49%,19.54%,-1.69%,-,-
Enterprise Value,"99,561","91,890","103,625","112,961","118,597","128,874","131,297","148,538","154,936",-,"151,043"
PE Ratio,31.37,17.59,24.92,19.25,22.92,17.74,62.77,20.64,20.28,0,35.47
PS Ratio,2.47,2.11,2.36,2.50,2.49,2.65,2.83,3.21,2.76,-,2.44
PB Ratio,1.44,1.25,1.31,1.41,1.39,1.42,1.41,1.64,1.60,0,1.44
P/FCF Ratio,70.15,41.22,-595.95,-53.38,-43.09,-30.18,-23.17,-76.75,-55.65,-,-
P/OCF Ratio,9.27,7.52,8.03,8.66,9.21,9.25,8.22,9.11,9.57,-,8.80
EV/Sales Ratio,4.16,3.92,4.56,4.79,4.84,5.14,5.50,5.92,5.39,-,5.20
EV/EBITDA Ratio,11.22,10.24,11.60,11.26,12.19,11.88,15.13,13.06,12.90,-,11.64
EV/EBIT Ratio,17.65,16.81,19.47,18.36,20.86,20.96,37.47,25.21,24.39,-,21.56
EV/FCF Ratio,118.24,76.45,-1151.39,-102.41,-83.64,-58.50,-45.07,-141.33,-108.73,-,-17.90
Debt / Equity Ratio,1.04,1.09,1.23,1.30,1.32,1.34,1.34,1.38,1.54,0,1.64
Debt / EBITDA Ratio,4.63,4.74,4.84,5.02,5.59,5.34,7.22,5.63,5.68,5.83,6.20
Debt / FCF Ratio,48.81,35.39,-480.02,-45.68,-38.39,-26.30,-21.52,-60.97,-47.87,-13.98,-17.96
Quick Ratio,2.38,1.99,2.18,0.25,0.24,0.23,0.21,0.25,0.26,0,0.08
Current Ratio,1.03,0.73,0.70,0.68,0.65,0.62,0.53,0.62,0.70,0,0.74
Asset Turnover,0.20,0.19,0.17,0.17,0.17,0.16,0.15,0.15,0.16,0,0.16
Interest Coverage,3.24,3.33,2.79,2.91,2.24,2.59,2.11,2.36,2.54,2.35,2.34
Return on Equity (ROE),4.56%,6.89%,5.42%,7.45%,6.39%,8.55%,2.30%,8.15%,7.93%,8.76%,5.89%
Return on Assets (ROA),1.64%,2.33%,1.78%,2.30%,1.93%,2.58%,0.68%,2.41%,2.31%,2.43%,1.64%
Return on Capital (ROIC),3.80%,4.37%,4.45%,4.55%,4.16%,4.90%,5.33%,4.55%,4.84%,5.12%,4.96%
Earnings Yield,3.19%,5.68%,4.01%,5.20%,4.36%,5.64%,1.59%,4.84%,4.93%,-,4.08%
FCF Yield,2.04%,-0.18%,-2.06%,-2.41%,-3.61%,-4.38%,-1.56%,-1.77%,-6.86%,0.00%,-6.33%
Dividend Yield,3.78%,4.55%,4.35%,4.16%,4.04%,4.01%,4.17%,3.86%,4.01%,-,4.46%
Payout Ratio,118.64%,80.04%,108.36%,80.09%,92.69%,71.18%,261.58%,79.68%,81.28%,-,158.30%
Buyback Yield / Dilution,Upgrade,-0.14%,1.84%,0.43%,-1.30%,-1.14%,-2.97%,-1.23%,-4.20%,-0.13%,-
Total Shareholder Return,3.64%,6.39%,4.78%,2.86%,2.90%,1.05%,2.93%,-0.34%,3.88%,-,4.46%
