,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"57,840","61,501","62,626","67,892","68,974","73,151","59,997","66,137","61,455","57,786","62,264","56,573","77,063","84,457","92,878","99,507","105,051","106,996","130,179","126,984","140,535","149,327","147,967","153,091","139,580","161,880","192,886","193,932","212,934","205,523","208,888","248,277","207,242","190,270","120,740","190,793","177,135","191,484","169,015","192,804","197,928"
Market Cap Growth,5.08%,12.97%,22.04%,14.41%,19.25%,18.94%,-4.20%,-2.58%,-10.90%,-21.01%,3.78%,-14.46%,25.40%,46.16%,49.17%,75.89%,36.32%,26.69%,40.16%,27.61%,33.78%,39.56%,13.66%,20.56%,-0.68%,8.41%,30.36%,26.68%,52.55%,26.96%,8.30%,28.02%,-2.67%,-7.42%,-42.20%,-23.15%,-14.53%,0.64%,39.98%,1.05%,-
Enterprise Value,"63,545","65,296","67,314","71,674","74,651","77,864","65,220","70,137","66,711","64,120","68,274","59,959","92,331","98,813","105,891","118,024","123,085","124,601","146,368","142,706","156,567","165,384","162,973","168,125","154,475","176,796","206,969","206,743","223,324","215,366","217,983","257,484","216,657","198,093","127,560","198,627","184,026","200,495","177,834","199,851","190,881"
PE Ratio,38.56,32.99,29.10,18.75,7.52,23.33,25.86,21.56,48.62,23.49,-47.31,17.72,45.98,74.61,38.51,-30.04,62.83,36.49,57.81,48.54,52.28,37.11,38.53,36.48,61.87,75.36,39.14,22.43,29.69,43.21,24.87,31.21,21.17,23.57,21.03,46.17,33.60,34.82,29.42,30.24,34.97
PS Ratio,2.66,2.82,2.91,3.19,3.30,3.56,2.92,3.24,3.01,2.81,3.01,2.71,3.46,3.58,3.70,3.63,3.69,3.62,4.28,4.15,4.57,4.83,4.72,4.80,4.35,5.15,5.99,5.60,5.70,5.11,4.94,5.76,4.66,4.18,2.68,4.37,4.27,4.76,4.23,4.81,4.93
PB Ratio,2.47,2.61,2.74,3.15,3.15,3.18,2.84,3.12,2.97,2.79,3.00,2.75,2.46,2.67,2.90,3.22,3.35,3.50,4.24,4.16,4.54,4.71,4.65,4.92,4.62,5.29,6.15,5.92,6.34,6.08,6.07,6.93,5.85,5.21,3.38,5.20,2.39,5.15,4.51,5.11,5.25
P/FCF Ratio,27.89,26.86,21.10,26.13,30.20,30.90,26.94,35.63,35.06,34.19,34.38,27.17,28.33,26.78,23.27,22.44,21.15,22.22,26.55,25.88,31.58,36.46,38.80,34.04,31.18,35.47,42.05,33.88,27.98,23.78,22.43,28.71,25.42,22.47,14.14,24.45,25.96,34.89,37.63,-,71.30
P/OCF Ratio,18.08,18.18,15.42,18.47,20.64,21.63,17.77,22.30,21.41,20.35,21.76,17.66,19.91,19.59,18.21,17.86,17.21,17.84,21.08,20.16,23.80,26.11,26.98,24.95,22.74,25.29,29.59,24.55,21.68,19.34,18.54,23.57,20.81,18.58,11.70,19.91,20.46,25.70,25.81,-,46.87
Debt / Equity Ratio,0.33,0.31,0.36,0.36,0.41,0.38,0.40,0.42,0.41,0.43,0.41,1.07,0.76,0.76,0.75,0.90,0.70,0.68,0.77,0.64,0.62,0.61,0.60,0.58,0.60,0.64,0.59,0.60,0.55,0.55,0.53,0.53,0.48,0.46,0.46,0.48,0.23,0.45,0.41,0,0
Quick Ratio,1.46,1.54,1.17,0.76,1.87,1.99,1.50,1.04,1.14,1.17,1.18,3.31,2.31,2.41,2.26,1.67,1.23,1.16,1.13,1.03,1.13,1.20,1.12,0.88,1.01,1.10,1.19,1.14,1.32,1.36,1.42,1.28,1.21,1.33,1.22,1.23,1.18,1.16,1.23,0,0
