,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"25,525","21,308","18,729","30,562","29,413","22,419","25,074","18,724","44,403","54,265","54,100"
Market Cap Growth,94.32%,-16.52%,-12.10%,63.18%,-3.76%,-23.78%,11.84%,-25.32%,137.14%,22.21%,-
Enterprise Value,"27,785","22,931","20,495","31,216","30,036","23,263","26,777","20,610","47,622","58,326","59,151"
PE Ratio,-30.46,22.91,-68.60,-54.97,35.31,22.92,32.44,-93.62,20.97,6.92,11.04
PS Ratio,6.98,4.20,4.11,9.04,5.39,2.38,2.69,2.80,3.03,2.23,2.81
PB Ratio,3.87,2.48,2.24,2.94,2.61,1.85,2.07,1.62,1.94,2.41,2.38
P/FCF Ratio,-34.97,-17.61,-16.46,-54.19,-48.38,-41.44,-238.80,52.74,16.02,7.42,13.46
P/OCF Ratio,11.89,9.01,14.92,20.37,14.01,6.92,8.05,9.05,7.34,4.78,6.22
EV/Sales Ratio,7.60,4.52,4.49,9.23,5.51,2.47,2.87,3.08,3.25,2.40,3.07
EV/EBITDA Ratio,1262.93,8.44,17.92,42.88,16.13,7.98,9.43,13.68,8.81,4.63,6.30
EV/EBIT Ratio,-32.05,13.73,-85.04,-41.51,65.01,16.86,23.72,-156.14,16.38,5.79,8.91
EV/FCF Ratio,-38.06,-18.95,-18.01,-55.35,-49.40,-43.00,-255.02,58.06,17.18,7.97,14.72
Debt / Equity Ratio,0.40,0.31,0.44,0.31,0.24,0.19,0.21,0.30,0.32,0.23,0.23
Debt / EBITDA Ratio,120.59,0.97,3.19,4.41,1.47,0.78,0.91,2.33,1.35,0.42,0.57
Debt / FCF Ratio,-3.63,-2.19,-3.21,-5.70,-4.49,-4.22,-24.71,9.89,2.63,0.72,1.33
Quick Ratio,0.66,1.03,1.56,1.96,1.29,1.24,0.77,1.22,1.41,0.79,0.65
Current Ratio,1.38,1.66,2.19,2.11,1.41,1.42,0.88,1.36,1.52,0.96,0.85
Asset Turnover,0.27,0.38,0.31,0.21,0.33,0.53,0.51,0.36,0.41,0.67,0.54
Interest Coverage,-4.71,9.08,-1.29,-3.63,3.02,10.95,9.33,-1.02,18.06,78.74,47.09
Return on Equity (ROE),-11.70%,12.70%,-3.20%,-5.40%,7.80%,8.30%,6.40%,-1.70%,9.80%,33.80%,22.90%
Return on Assets (ROA),-6.10%,7.00%,-1.90%,-3.40%,5.10%,5.50%,4.20%,-1.10%,6.00%,21.50%,14.20%
Return on Capital (ROIC),-4.21%,9.93%,-1.95%,-5.52%,8.89%,7.46%,5.88%,-0.88%,7.44%,28.58%,18.60%
Earnings Yield,-3.28%,4.36%,-1.46%,-1.82%,2.83%,4.36%,3.08%,-1.07%,4.77%,14.46%,9.44%
FCF Yield,-2.86%,-5.68%,-6.08%,-1.85%,-2.07%,-2.41%,-0.42%,1.90%,6.24%,13.48%,7.43%
Dividend Yield,0.00%,0.10%,0.10%,0.00%,0.00%,0.20%,0.80%,1.90%,3.80%,11.10%,6.03%
Payout Ratio,-1.30%,1.30%,-4.40%,-2.40%,1.60%,5.60%,26.10%,-181.80%,75.40%,78.00%,66.54%
Buyback Yield / Dilution,-7.94%,-5.88%,-3.47%,-11.41%,-2.41%,-0.59%,2.34%,1.20%,-49.09%,-2.44%,4.00%
Total Shareholder Return,-7.94%,-5.78%,-3.37%,-11.41%,-2.41%,-0.39%,3.14%,3.10%,-45.29%,8.66%,10.03%
