,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"14,702","18,001","11,530","13,939","14,691","12,370","13,304","10,319","12,417","11,476","13,911"
Market Cap Growth,29.46%,22.44%,-35.95%,20.90%,5.39%,-15.80%,7.55%,-22.43%,20.33%,-7.58%,-
Enterprise Value,"18,568","21,274","15,161","17,214","17,732","14,665","16,131","14,135","17,065","15,592","17,772"
PE Ratio,46.38,24.59,20.66,18.29,26.05,11.38,14.46,-14.10,-1128.82,18.13,18.78
PS Ratio,2.85,3.38,2.15,2.57,2.73,2.24,2.43,6.37,4.30,2.34,2.65
PB Ratio,2.03,2.45,1.63,1.99,2.11,1.65,1.82,1.63,1.93,1.71,2.02
P/FCF Ratio,27.18,25.14,14.84,13.81,14.33,12.06,12.94,-22.29,78.59,9.41,12.86
P/OCF Ratio,14.43,15.79,9.94,10.71,11.94,9.52,10.64,-33.61,42.52,8.10,9.31
EV/Sales Ratio,3.59,4.00,2.83,3.17,3.29,2.65,2.95,8.73,5.90,3.18,3.38
EV/EBITDA Ratio,13.76,12.92,10.09,10.25,11.35,6.22,8.73,-151.99,20.05,10.54,10.83
EV/EBIT Ratio,28.92,22.32,19.09,18.01,21.86,10.38,13.76,-18.65,191.74,19.13,18.44
EV/FCF Ratio,34.32,29.71,19.51,17.06,17.30,14.29,15.69,-30.53,108.01,12.79,16.43
Debt / Equity Ratio,0.66,0.54,0.55,0.52,0.57,0.51,0.60,0.97,0.85,0.71,0.70
Debt / EBITDA Ratio,3.53,2.40,2.57,2.17,2.53,1.63,2.38,-66.14,6.41,3.23,2.91
Debt / FCF Ratio,8.80,5.53,4.98,3.62,3.86,3.74,4.28,-13.29,34.53,3.92,4.41
Asset Turnover,0.40,0.44,0.45,0.47,0.46,0.46,0.43,0.13,0.23,0.41,0.43
Interest Coverage,2.11,4.60,3.50,6.21,4.86,8.03,5.28,-3.91,0.47,5.22,5.21
Return on Equity (ROE),4.40%,10.00%,7.80%,10.80%,8.00%,15.00%,12.30%,-11.00%,-0.20%,9.40%,11.00%
Return on Assets (ROA),2.50%,6.00%,4.70%,6.60%,4.80%,9.00%,7.30%,-5.70%,-0.10%,5.20%,6.10%
Return on Capital (ROIC),4.26%,8.08%,6.54%,8.36%,5.42%,4.11%,6.60%,-7.64%,-2.10%,6.48%,6.92%
Earnings Yield,2.16%,4.07%,4.84%,5.47%,3.84%,8.79%,6.92%,-7.09%,-0.09%,5.52%,5.43%
FCF Yield,3.68%,3.98%,6.74%,7.24%,6.98%,8.29%,7.73%,-4.49%,1.27%,10.62%,7.78%
Dividend Yield,2.40%,2.90%,5.20%,4.50%,4.30%,5.10%,4.60%,1.40%,0.00%,3.30%,2.25%
Payout Ratio,107.00%,71.10%,108.10%,82.50%,111.80%,57.80%,67.50%,-19.20%,0.00%,59.60%,42.32%
Buyback Yield / Dilution,-4.35%,-0.14%,0.75%,1.56%,-0.03%,-0.27%,3.35%,1.65%,-1.23%,-0.14%,0.46%
Total Shareholder Return,-1.95%,2.76%,5.95%,6.06%,4.27%,4.83%,7.95%,3.05%,-1.23%,3.16%,2.71%
