,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"37,548","44,903","40,268","48,003","52,165","46,812","68,169","61,350","63,626","51,096","38,376"
Market Cap Growth,26.15%,19.59%,-10.32%,19.21%,8.67%,-10.26%,45.62%,-10.00%,3.71%,-19.69%,-
Enterprise Value,"59,321","70,004","68,208","82,837","89,369","81,719","100,343","98,192","103,802","91,301","79,907"
PE Ratio,22.13,34.28,21.21,22.61,17.39,19.13,50.20,-152.99,19.35,51.41,23.52
PS Ratio,2.86,3.61,3.45,4.09,4.14,4.18,4.73,4.33,4.56,2.98,2.16
PB Ratio,3.23,3.89,3.18,3.29,3.04,2.33,2.13,2.32,2.33,1.83,1.37
P/FCF Ratio,-55.96,-21.26,-26.53,-24.32,-37.07,127.21,-582.64,-55.57,-41.61,-15.34,-11.23
P/OCF Ratio,10.94,13.06,9.00,11.56,11.59,9.81,13.10,11.74,15.76,13.81,6.17
EV/Sales Ratio,4.52,5.63,5.84,7.06,7.10,7.30,6.97,6.93,7.43,5.32,4.50
EV/EBITDA Ratio,12.22,15.50,12.69,14.70,14.02,12.52,16.64,25.21,13.25,17.76,11.70
EV/EBIT Ratio,17.12,23.69,18.39,21.87,21.41,19.24,32.87,92.72,20.49,45.02,21.65
EV/FCF Ratio,-88.41,-33.15,-44.93,-41.96,-63.52,222.06,-857.63,-88.94,-67.89,-27.41,-23.71
Debt / Equity Ratio,1.96,2.25,2.27,2.40,2.18,1.75,1.01,1.40,1.49,1.48,1.49
Debt / EBITDA Ratio,4.69,5.75,5.36,6.23,5.85,5.39,5.36,9.50,5.18,8.04,6.13
Debt / FCF Ratio,-33.94,-12.29,-18.97,-17.78,-26.53,95.58,-276.15,-33.53,-26.54,-12.41,-12.59
Quick Ratio,0.41,0.35,0.27,0.24,0.20,0.31,0.26,0.25,0.34,0.27,0.13
Current Ratio,0.85,0.78,0.52,0.52,0.45,0.68,0.61,0.64,0.84,0.73,1.14
Asset Turnover,0.27,0.24,0.21,0.18,0.17,0.14,0.14,0.14,0.14,0.17,0.17
Interest Coverage,3.95,2.48,4.10,3.75,3.46,3.32,2.05,0.77,3.74,2.10,2.27
Return on Equity (ROE),15.20%,11.30%,15.30%,15.00%,18.90%,13.20%,4.70%,-1.40%,12.20%,3.50%,6.10%
Return on Assets (ROA),3.50%,2.50%,3.40%,3.20%,4.00%,3.10%,1.30%,-0.40%,3.30%,1.00%,1.60%
Return on Capital (ROIC),6.32%,5.39%,5.78%,5.30%,7.30%,4.49%,2.08%,3.24%,3.94%,2.16%,3.65%
Earnings Yield,4.52%,2.92%,4.72%,4.42%,5.75%,5.23%,1.99%,-0.65%,5.17%,1.95%,4.47%
FCF Yield,-1.79%,-4.70%,-3.77%,-4.11%,-2.70%,0.79%,-0.17%,-1.80%,-2.40%,-6.52%,-8.67%
Dividend Yield,3.50%,3.10%,3.80%,3.70%,3.70%,4.70%,4.40%,4.60%,3.20%,4.40%,5.82%
Payout Ratio,76.80%,106.70%,80.70%,81.40%,64.30%,89.30%,221.10%,-616.10%,63.30%,245.00%,136.92%
Buyback Yield / Dilution,-1.01%,-0.60%,-1.96%,-5.28%,-2.68%,-1.80%,-25.65%,0.88%,0.72%,-2.89%,-0.51%
Total Shareholder Return,2.49%,2.50%,1.84%,-1.58%,1.02%,2.90%,-21.25%,5.48%,3.92%,1.51%,5.31%
