,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"10,513","14,622","19,094","17,481","25,803","23,009","20,606","23,910","28,905","33,260","31,236"
Market Cap Growth,15.33%,39.09%,30.58%,-8.45%,47.61%,-10.83%,-10.44%,16.03%,20.89%,15.07%,-
Enterprise Value,"11,015","14,441","25,700","22,932","30,383","26,828","30,051","32,086","37,837","42,675","41,409"
PE Ratio,17.62,24.40,67.61,19.51,15.05,-14.46,24.92,17.82,21.77,20.59,27.20
PS Ratio,1.34,1.70,1.23,0.84,1.16,1.01,0.87,0.94,1.10,1.17,1.05
PB Ratio,8.98,8.19,4.33,3.24,3.59,4.08,3.29,3.28,3.75,3.80,3.47
P/FCF Ratio,22.70,23.63,59.20,15.78,29.38,24.24,24.73,13.09,70.72,92.13,47.32
P/OCF Ratio,13.24,15.51,23.79,10.45,17.09,13.03,11.02,8.80,20.19,20.60,13.52
EV/Sales Ratio,1.40,1.68,1.66,1.11,1.37,1.18,1.27,1.26,1.44,1.51,1.39
EV/EBITDA Ratio,9.49,11.64,16.74,9.79,11.61,-84.39,15.76,12.47,14.97,14.21,16.98
EV/EBIT Ratio,11.36,13.96,24.53,13.45,15.15,-28.57,23.84,17.00,20.89,19.09,25.45
EV/FCF Ratio,23.78,23.34,79.69,20.70,34.59,28.26,36.07,17.57,92.58,118.21,62.73
Debt / Equity Ratio,0.66,0.38,1.67,1.17,0.79,0.76,1.60,1.32,1.29,1.16,1.19
Debt / EBITDA Ratio,0.66,0.55,4.79,2.70,2.17,-13.42,5.26,3.75,3.95,3.37,4.38
Debt / FCF Ratio,1.66,1.10,22.78,5.71,6.46,4.49,12.04,5.28,24.40,28.05,16.19
Quick Ratio,0.39,1.00,0.35,0.41,0.38,0.21,0.17,0.39,0.25,0.17,0.11
Current Ratio,2.01,2.32,1.88,1.87,1.60,2.05,1.20,1.35,1.34,1.51,1.36
Asset Turnover,2.76,2.66,1.03,1.29,1.40,1.47,1.21,1.24,1.24,1.25,1.27
Interest Coverage,62.97,12.91,1.75,4.54,6.65,-2.54,7.78,12.81,10.12,17.84,15.00
Return on Equity (ROE),41.90%,39.10%,7.80%,18.00%,27.70%,-22.30%,13.80%,19.50%,18.10%,19.20%,13.00%
Return on Assets (ROA),21.00%,18.50%,1.90%,5.60%,10.80%,-10.20%,4.20%,6.50%,6.30%,7.10%,5.00%
Return on Capital (ROIC),31.27%,26.47%,5.63%,9.81%,15.64%,-9.48%,5.83%,8.60%,8.33%,9.07%,6.33%
Earnings Yield,5.68%,4.10%,1.48%,5.13%,6.64%,-6.91%,4.01%,5.61%,4.59%,4.86%,3.73%
FCF Yield,4.41%,4.23%,1.69%,6.34%,3.40%,4.13%,4.04%,7.64%,1.41%,1.09%,2.11%
Buyback Yield / Dilution,8.41%,1.17%,-14.17%,-0.54%,-0.43%,-0.37%,0.55%,0.62%,4.35%,1.68%,1.49%
Total Shareholder Return,8.41%,1.17%,-14.17%,-0.54%,-0.43%,-0.37%,0.55%,0.62%,4.35%,1.68%,1.49%
