,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"12,539","13,153","13,104","17,536","16,483","24,859","22,919","18,368","13,886","20,674","19,612"
Market Cap Growth,30.83%,4.90%,-0.37%,33.82%,-6.01%,50.82%,-7.80%,-19.86%,-24.40%,48.89%,-
Enterprise Value,"15,655","15,643","16,488","21,113","20,267","28,625","26,317","22,826","19,488",-,"23,638"
PE Ratio,34.01,36.29,28.97,23.69,20.31,27.77,32.55,21.88,14.55,21.06,20.58
PS Ratio,10.45,7.72,7.15,7.80,6.77,9.38,9.59,6.48,4.05,5.50,5.22
PB Ratio,4.55,4.28,4.25,4.77,4.93,6.70,6.83,6.41,5.46,0,5.97
P/FCF Ratio,21.57,18.49,20.26,29.48,20.48,22.87,16.50,16.95,23.01,12.71,24.93
P/OCF Ratio,20.61,17.46,18.56,26.38,18.60,21.39,15.62,15.37,18.40,11.61,21.70
EV/Sales Ratio,13.05,9.19,9.00,9.39,8.33,10.81,11.02,8.06,5.69,-,6.29
EV/EBITDA Ratio,23.37,19.53,17.96,15.97,13.36,19.01,21.27,14.99,11.04,-,11.76
EV/EBIT Ratio,27.82,25.62,22.90,19.86,16.24,23.25,26.79,18.43,13.50,-,13.45
EV/FCF Ratio,26.93,21.99,25.49,35.50,25.18,26.34,18.94,21.06,32.30,-,30.05
Debt / Equity Ratio,1.31,0.96,1.25,1.23,1.44,1.36,1.29,2.09,2.77,0,1.65
Debt / EBITDA Ratio,2.22,4.49,3.20,2.92,2.98,3.20,4.07,2.84,3.39,3.50,2.69
Debt / FCF Ratio,2.56,5.05,4.54,6.49,5.61,4.43,3.63,4.00,9.91,4.33,6.88
Quick Ratio,0.40,0.48,0.51,0.58,0.55,0.63,0.58,0.62,0.58,0,0.54
Current Ratio,0.74,0.86,0.77,0.87,0.86,1.04,1.00,1.04,1.01,0,1.04
Asset Turnover,0.14,0.21,0.19,0.20,0.22,0.22,0.21,0.21,0.24,0,0.25
Interest Coverage,19.60,9.36,10.49,8.25,7.88,8.21,7.49,10.93,8.79,4.75,4.61
Return on Equity (ROE),29.64%,13.16%,14.74%,24.00%,22.07%,26.80%,18.97%,25.02%,33.29%,38.63%,29.91%
Return on Assets (ROA),9.27%,4.18%,5.55%,7.72%,7.17%,8.00%,5.77%,7.50%,7.14%,6.97%,6.48%
Return on Capital (ROIC),14.89%,7.11%,8.83%,10.54%,9.86%,12.53%,8.87%,12.24%,12.24%,12.82%,14.12%
Earnings Yield,2.94%,2.76%,3.45%,4.22%,4.92%,3.60%,3.07%,4.57%,6.87%,4.75%,5.01%
FCF Yield,4.64%,5.41%,4.94%,3.39%,4.88%,4.37%,6.06%,5.90%,4.35%,7.87%,4.01%
Dividend Yield,0.00%,0.00%,14.13%,10.59%,11.81%,10.66%,4.24%,23.02%,0.00%,0.00%,11.66%
Payout Ratio,0.00%,0.00%,409.32%,250.87%,239.87%,296.01%,137.95%,503.63%,0.00%,0.00%,802.21%
Buyback Yield / Dilution,-2.75%,-8.23%,-1.14%,1.70%,1.54%,2.26%,3.72%,3.07%,8.56%,3.22%,1.04%
Total Shareholder Return,-2.75%,-8.23%,12.99%,12.29%,13.35%,12.92%,7.96%,26.08%,8.56%,3.22%,1.04%
