,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"27,114","32,408","26,538","22,071","29,241","34,382","22,811","31,306","22,113","8,904","6,474"
Market Cap Growth,65.98%,19.52%,-18.11%,-16.83%,32.48%,17.58%,-33.65%,37.24%,-29.36%,-59.73%,-
Enterprise Value,"27,788","32,875","27,448","23,163","31,601","36,760","26,301","36,849","27,282","15,908","12,828"
PE Ratio,22.41,30.94,21.55,20.55,47.55,27.29,33.57,76.75,15.94,75.09,-9.55
PS Ratio,2.37,2.73,2.41,2.00,3.48,3.35,2.17,3.39,1.87,0.77,0.60
PB Ratio,4.46,5.76,4.93,4.47,7.86,8.00,6.79,10.24,6.26,3.06,3.07
P/FCF Ratio,22.96,22.20,29.96,17.51,23.01,24.64,42.19,29.79,38.90,-10.89,5.61
P/OCF Ratio,18.00,18.39,22.05,14.91,19.83,20.66,26.08,23.84,25.59,-13.58,5.04
EV/Sales Ratio,2.43,2.77,2.50,2.10,3.76,3.58,2.51,3.99,2.30,1.37,1.19
EV/EBITDA Ratio,14.62,18.32,14.15,13.98,21.42,20.52,17.19,27.46,10.88,18.43,14.53
EV/EBIT Ratio,16.87,21.64,16.46,16.85,25.55,23.94,30.25,57.12,14.90,73.08,65.40
EV/FCF Ratio,23.53,22.52,30.99,18.38,24.87,26.35,48.64,35.07,47.99,-19.46,11.11
Debt / Equity Ratio,0.24,0.26,0.34,0.47,0.79,0.65,1.45,2.28,1.83,2.69,3.48
Debt / EBITDA Ratio,0.76,0.80,0.96,1.40,1.98,1.55,3.18,5.19,2.57,9.06,8.31
Debt / FCF Ratio,1.23,0.99,2.09,1.84,2.30,1.99,8.99,6.62,11.34,-9.56,6.36
Quick Ratio,1.36,1.39,1.15,1.33,0.73,0.67,0.89,1.23,0.83,0.68,0.58
Current Ratio,2.48,2.50,2.14,2.40,1.60,1.76,1.66,2.17,1.38,1.45,1.24
Asset Turnover,1.15,1.16,1.11,1.11,0.86,0.98,0.96,0.70,0.87,0.84,0.81
Interest Coverage,19.43,17.65,18.79,14.51,12.13,14.25,9.45,4.76,13.41,1.25,0.83
Return on Equity (ROE),22.00%,18.30%,23.90%,22.20%,15.70%,30.50%,16.30%,13.50%,39.50%,3.70%,-30.80%
Return on Assets (ROA),12.20%,10.30%,12.50%,10.80%,6.30%,12.00%,6.20%,3.10%,10.20%,0.90%,-5.70%
Return on Capital (ROIC),16.95%,18.59%,17.72%,16.82%,7.21%,14.84%,9.87%,4.86%,13.40%,8.37%,1.70%
Earnings Yield,4.46%,3.23%,4.64%,4.87%,2.10%,3.66%,2.98%,1.30%,6.27%,1.33%,-11.82%
FCF Yield,4.36%,4.51%,3.34%,5.71%,4.35%,4.06%,2.37%,3.36%,2.57%,-9.18%,17.84%
Dividend Yield,1.50%,1.50%,2.10%,2.90%,2.30%,2.20%,3.30%,2.40%,3.50%,7.90%,2.16%
Payout Ratio,33.20%,45.70%,45.90%,59.30%,111.70%,60.80%,110.50%,184.80%,55.80%,583.90%,-50.30%
Buyback Yield / Dilution,0.07%,1.92%,1.29%,2.39%,4.39%,0.76%,0.14%,1.95%,-0.07%,1.03%,-0.05%
Total Shareholder Return,1.57%,3.42%,3.39%,5.29%,6.69%,2.96%,3.44%,4.35%,3.43%,8.93%,2.11%
