,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net Income,239,-147,179,-738,"-1,514",155,"-1,269",330,623,149
Depreciation & Amortization,552,498,505,449,472,659,644,680,688,714
Other Operating Activities,238,480,194,783,"1,799",114,"1,405",227,43,229
Operating Cash Flow,"1,029",831,878,494,757,928,780,"1,237","1,354","1,092"
Operating Cash Flow Growth,105.39%,-19.24%,5.66%,-43.74%,53.24%,22.59%,-15.95%,58.59%,9.46%,-19.35%
Capital Expenditures,-358,-126,-215,15,-226,-469,-402,-366,-496,-433
Acquisitions,157,"-1,190",-834,-347,-77,-188,-32,-886,"-1,501",-17
Change in Investments,-84,-370,-105,-98,-51,-38,3,-39,-112,-103
Other Investing Activities,-,-55,43,10,33,18,4,-1,33,-21
Investing Cash Flow,-285,"-1,741","-1,111",-420,-321,-677,-427,"-1,292","-2,076",-574
Dividends Paid,-24,-30,-147,-152,-158,-161,-158,-163,-175,-174
Share Issuance / Repurchase,0,-30,-41,0,0,0,0,0,-179,-243
Debt Issued / Paid,0,-129,342,-23,-118,-435,-300,958,852,-75
Other Financing Activities,213,-1,-4,-42,-122,-14,-14,-96,-94,-9
Financing Cash Flow,189,-190,150,-217,-398,-610,-472,699,404,-501
Exchange Rate Effect,27,-94,-36,12,-20,-32,-7,75,-96,-6
Net Cash Flow,933,"-1,100",-83,-143,38,-359,-119,644,-318,17
Free Cash Flow,671,705,663,509,531,459,378,871,858,659
Free Cash Flow Growth,297.04%,5.07%,-5.96%,-23.23%,4.32%,-13.56%,-17.65%,130.42%,-1.49%,-23.19%
Free Cash Flow Margin,7.91%,8.27%,8.00%,6.25%,5.88%,4.56%,4.20%,9.31%,8.26%,6.67%
Free Cash Flow Per Share,1.16,1.21,1.14,0.88,0.91,0.78,0.64,1.47,1.47,1.15
