,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"18,098","25,294","26,087","30,729","23,062","12,319","5,753","24,728","24,102","32,320","35,054"
Market Cap Growth,4.75%,39.76%,3.14%,17.79%,-24.95%,-46.58%,-53.30%,329.84%,-2.53%,34.09%,-
Enterprise Value,"32,281","40,528","42,834","48,988","41,742","32,645","58,508","66,705","69,963","84,912","90,052"
PE Ratio,22.23,17.61,29.85,22.06,14.01,-1.80,-0.75,-18.76,-236.30,17.96,19.10
PS Ratio,1.16,1.48,1.55,1.74,1.35,0.74,0.34,1.34,1.17,1.49,1.54
PB Ratio,1.26,1.61,1.57,1.71,1.20,0.97,1.12,1.18,1.15,1.42,1.45
P/FCF Ratio,-10.17,-22.13,-18.73,-23.64,68.64,-6.99,-3.84,-0.92,-4.44,-5.51,-10.37
P/OCF Ratio,5.28,6.85,6.90,6.97,3.86,2.59,1.19,-1.29,10.66,8.69,6.64
EV/Sales Ratio,2.07,2.37,2.54,2.77,2.44,1.95,3.42,3.61,3.39,3.92,3.96
EV/EBITDA Ratio,8.33,8.19,10.12,9.74,7.08,-5.28,-8.49,17.68,12.19,13.62,14.20
EV/EBIT Ratio,17.96,16.11,26.44,21.51,13.71,-3.54,-5.78,219.42,29.96,35.69,35.82
EV/FCF Ratio,-18.14,-35.46,-30.75,-37.68,124.23,-18.53,-39.08,-2.49,-12.89,-14.48,-24.14
Debt / Equity Ratio,1.03,1.00,1.03,1.03,1.00,1.74,10.58,2.03,2.20,2.35,2.32
Debt / EBITDA Ratio,3.82,3.17,4.04,3.66,3.24,-3.56,-7.89,11.29,8.05,8.59,8.83
Debt / FCF Ratio,-8.30,-13.72,-12.28,-14.18,56.93,-12.48,-36.29,-1.59,-8.51,-9.13,-14.01
Quick Ratio,0.61,0.94,0.75,0.62,0.70,0.15,1.01,0.50,0.46,0.62,0.72
Current Ratio,0.80,1.08,0.91,0.82,0.88,0.22,1.33,0.71,0.64,0.81,0.84
Asset Turnover,0.29,0.30,0.27,0.27,0.25,0.23,0.20,0.19,0.20,0.19,0.19
Interest Coverage,2.51,3.43,2.10,2.75,3.43,-9.92,-10.84,0.24,1.46,1.24,1.01
Return on Equity (ROE),5.80%,9.40%,5.40%,8.10%,8.70%,-38.80%,-82.60%,-10.40%,-0.50%,8.20%,7.80%
Return on Assets (ROA),1.50%,2.50%,1.40%,2.10%,2.40%,-9.60%,-9.10%,-1.40%,-0.10%,1.60%,1.50%
Return on Capital (ROIC),4.55%,6.28%,4.62%,5.50%,5.78%,-28.00%,-17.56%,-0.32%,-0.39%,9.37%,136.40%
Earnings Yield,4.50%,5.68%,3.35%,4.53%,7.14%,-55.62%,-133.08%,-5.33%,-0.42%,5.57%,5.24%
FCF Yield,-9.84%,-4.52%,-5.34%,-4.23%,1.46%,-14.30%,-26.02%,-108.46%,-22.52%,-18.14%,-11.40%
Dividend Yield,4.50%,3.40%,3.40%,3.20%,3.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%
Payout Ratio,99.50%,59.30%,100.60%,69.00%,48.30%,0.00%,0.00%,0.00%,0.00%,0.00%,4.65%
Buyback Yield / Dilution,-4.71%,-5.62%,-3.62%,-2.87%,-2.40%,-0.78%,-2.13%,-138.07%,-57.92%,-7.41%,-0.38%
Total Shareholder Return,-0.21%,-2.22%,-0.22%,0.33%,1.10%,-0.78%,-2.13%,-138.07%,-57.92%,-7.41%,-0.13%
