,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
operatingCashflow,7618000000,9308000000,8616000000,9307000000,9083000000,11001000000,3877000000,9829000000,14040000000,12242000000,13247000000,14090000000,18104000000,14076000000,12196000000,9692000000,14511000000,13998000000,17309000000,20402000000
paymentsForOperatingActivities,1000000,2000000,397000000,251000000,264000000,279000000,300000000,310000000,333000000,333000000,6650000000,1987000000,-7549000000,393000000,394000000,421000000,462000000,665000000,521000000,816000000
proceedsFromOperatingActivities,,,,,,,,,,,,,,,,,,,,
changeInOperatingLiabilities,-197000000,3238000000,4365000000,897000000,623000000,683000000,-4512000000,168000000,2349000000,-1787000000,1513000000,2180000000,4003000000,-229000000,1400000000,1539000000,2686000000,-826000000,4972000000,627000000
changeInOperatingAssets,1425000000,-1195000000,1234000000,686000000,1148000000,-2001000000,445000000,106000000,2861000000,-378000000,3403000000,797000000,1387000000,-3022000000,981000000,964000000,790000000,-3397000000,1441000000,1622000000
depreciationDepletionAndAmortization,1225000000,1355000000,1502000000,1416000000,1468000000,1597000000,1704000000,1698000000,1863000000,1972000000,1986000000,1995000000,2014000000,2156000000,1979000000,2175000000,2376000000,2524000000,2623000000,2859000000
capitalExpenditures,4301000000,3837000000,3633000000,3532000000,4100000000,3558000000,3255000000,3689000000,4613000000,4272000000,4612000000,4314000000,5369000000,5441000000,7572000000,9375000000,9043000000,6842000000,6216000000,6543000000
changeInReceivables,1564000000,-1070000000,1006000000,328000000,1697000000,-2046000000,122000000,377000000,3059000000,-849000000,1366000000,555000000,2038000000,-2557000000,522000000,105000000,1699000000,-2546000000,1424000000,678000000
changeInInventory,-178000000,4545000000,4648000000,1733000000,938000000,698000000,-4793000000,187000000,2607000000,-2014000000,-642000000,1165000000,3679000000,1118000000,705000000,701000000,,,,
profitLoss,6882000000,2429000000,2616000000,6091000000,7349000000,4902000000,5178000000,7846000000,11219000000,9497000000,10394000000,9194000000,10285000000,7465000000,6687000000,4395000000,4653000000,5709000000,7788000000,11583000000
cashflowFromInvestment,-3685000000,-6768000000,-4010000000,-5050000000,-4036000000,-4109000000,-4178000000,-16599000000,-5173000000,-4874000000,-8195000000,-330000000,5829000000,-4779000000,-6959000000,-9701000000,-7531000000,-6743000000,-5203000000,-6077000000
cashflowFromFinancing,-3541000000,-1423000000,-1831000000,-2019000000,-2026000000,-2022000000,-2152000000,-2911000000,-3207000000,-5185000000,-8549000000,-15252000000,-21742000000,-10660000000,-6563000000,2147000000,-7060000000,-10516000000,5292000000,-5875000000
proceedsFromRepaymentsOfShortTermDebt,500000000,-177000000,58000000,-141000000,37000000,-80000000,63000000,-7000000,48000000,-50000000,53000000,12000000,-1000000,20000000,-79000000,-191000000,0,0,0,0
paymentsForRepurchaseOfCommonStock,3500000000,613000000,1145000000,1148000000,1296000000,1250000000,1368000000,1725000000,1929000000,3939000000,7079000000,13458000000,20061000000,9506000000,5233000000,6354000000,6863000000,9365000000,898000000,3569000000
paymentsForRepurchaseOfEquity,3500000000,613000000,1145000000,1148000000,1296000000,1250000000,1368000000,1725000000,1929000000,3939000000,7079000000,13458000000,20061000000,9506000000,5233000000,6354000000,6863000000,9365000000,898000000,3569000000
paymentsForRepurchaseOfPreferredStock,,,,,,,,,,,,,,,,,,,,
dividendPayout,,,,,,,,,,,,,,,,,,,,
dividendPayoutCommonStock,,,,,,,,,,,,,,,,,,,,
dividendPayoutPreferredStock,,,,,,,,,,,,,,,,,,,,
proceedsFromIssuanceOfCommonStock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,,,,,,,,,,,,,,,,9921000000,0,0,0,0
proceedsFromIssuanceOfPreferredStock,,,,,,,,,,,,,,,,,,,,
proceedsFromRepurchaseOfEquity,-3500000000,-613000000,-1145000000,-1148000000,-1296000000,-1250000000,-1368000000,-1725000000,-1929000000,-3939000000,-7079000000,-13458000000,-20061000000,-9506000000,-5233000000,-6354000000,-6863000000,-9365000000,-898000000,-3569000000
