,2014-03-28,2014-06-27,2014-09-26,2014-12-31,2015-04-03,2015-07-03,2015-10-02,2015-12-31,2016-04-01,2016-07-01,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-29,2017-12-31,2018-03-30,2018-06-29,2018-09-28,2018-12-31,2019-03-29,2019-06-28,2019-09-27,2019-12-31,2020-04-03,2020-07-03,2020-10-02,2020-12-31,2021-04-02,2021-07-02,2021-10-01,2021-12-31,2022-04-01,2022-07-01,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-29,2023-12-31
Cash & Equivalents,562,598.9,492.1,511.7,428.1,576.6,556.8,617.6,619.5,"2,824",880.5,"1,028",728.9,871.6,901.2,949.2,924.9,850.2,951,"1,070",939.6,885.2,928.7,894.2,"1,982","2,060","1,654","1,081","1,043","1,091","1,389","1,353","1,645","1,792","2,450","2,919","2,702","2,622","2,679","2,483"
Short-Term Investments,55,2.3,2.8,6.1,1.3,1.3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,617,601.2,494.9,517.8,429.4,577.9,557.6,617.6,619.5,"2,824",880.5,"1,028",728.9,871.6,901.2,949.2,924.9,850.2,951,"1,070",939.6,885.2,928.7,894.2,"1,982","2,060","1,654","1,081","1,043","1,091","1,389","1,353","1,645","1,792","2,450","2,919","2,702","2,622","2,679","2,483"
Cash Growth,0.44%,3.83%,-10.60%,-17.24%,-30.41%,-3.88%,12.67%,19.27%,44.27%,388.65%,57.91%,66.47%,17.66%,-69.13%,2.35%,-7.67%,26.89%,-2.46%,5.53%,12.68%,1.59%,4.12%,-2.34%,-16.40%,110.94%,132.76%,78.10%,20.86%,-47.40%,-47.04%,-16.01%,25.16%,57.80%,64.20%,76.37%,115.81%,64.27%,46.36%,9.35%,-14.94%
Receivables,417.1,437.3,488.7,417.5,454.5,489.9,505.9,426.4,428.2,487.4,675.1,629.8,678.2,696.4,695.6,701.5,696.9,698.8,733,686,704,713.2,716.6,705,652,667.4,728.1,676,683.6,669.1,720,809.4,910.7,"1,138",857.3,842.3,880.9,944.4,958.2,935.4
Inventory,613.9,632.6,724.3,729.9,746.9,743,754,750.4,759.7,750.2,"1,083","1,030","1,011","1,002","1,029","1,090","1,160","1,204","1,201","1,225","1,225","1,274","1,241","1,232","1,252","1,285","1,281","1,251","1,296","1,309","1,328","1,380","1,496","1,563","1,575","1,617","1,815","1,964","2,085","2,112"
Other Current Assets,89.3,90.5,105.3,140.6,128.1,121.3,135.2,97.1,94.3,"-2,139.7",163.7,181,190.6,194.3,189.6,193,185.2,173.6,212.4,187,177.9,192,187,188.4,146.4,131.2,149.3,176,166,160.4,205,240.1,315.6,292.4,426.5,351.3,318.1,399.2,363.2,382.1
Total Current Assets,"1,737","1,762","1,813","1,806","1,759","1,932","1,953","1,892","1,902","1,922","2,802","2,869","2,609","2,764","2,815","2,933","2,967","2,927","3,097","3,168","3,047","3,064","3,073","3,020","4,032","4,144","3,813","3,184","3,188","3,230","3,642","3,782","4,367","4,785","5,309","5,729","5,716","5,930","6,085","5,912"
"Property, Plant & Equipment","1,081","1,142","1,212","1,204","1,208","1,226","1,256","1,274","1,270","1,277","2,075","2,159","2,156","2,215","2,238","2,279","2,336","2,387","2,401","2,550","2,585","2,620","2,602","2,592","2,580","2,567","2,512","2,512","2,489","2,458","2,428","2,547","2,559","2,710","2,762","3,497","3,738","4,036","4,358","4,444"
Goodwill and Intangibles,399.9,457.1,755.7,722.3,688.4,651.1,631.4,596.4,572.9,547.4,"1,779","1,687","1,655","1,633","1,579","1,545","1,518","1,557","1,528","1,499","1,472","2,331","2,282","2,250","2,222","2,191","2,162","2,132","2,105","2,080","2,053","2,433","2,411","2,268","1,974","1,937","1,917","1,904","1,890","1,877"
Other Long-Term Assets,68.1,58,101.4,90.1,90.6,106.7,109.9,107.6,110.1,"2,351",135,209.4,217,221.7,228.3,437.6,441.9,426.4,383.3,371.3,460.6,509.8,565.4,564.2,587,625.7,768,839.2,848.9,827,818.1,864.6,874.4,"1,026","1,055",815.3,902.5,892.6,948,982.1
Total Long-Term Assets,"1,549","1,657","2,069","2,016","1,987","1,983","1,997","1,978","1,953","4,176","3,989","4,055","4,028","4,070","4,046","4,262","4,296","4,370","4,313","4,420","4,518","5,460","5,449","5,406","5,389","5,383","5,441","5,484","5,443","5,365","5,299","5,844","5,845","6,003","5,791","6,249","6,558","6,833","7,196","7,303"
