,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,384,314,286,427,328,324,290,301,331,344,257,403,386,356,530,377,405,322,324,545,472,333,304,332,"1,015",711,584,"2,745",774,390,303,393,486,454,301,502,373,"5,347","5,340",473
Short-Term Investments,197,203,169,174,194,264,193,201,259,255,238,245,220,300,207,235,224,313,202,268,220,259,201,291,254,206,177,195,215,235,185,208,225,161,129,181,197,288,272,0
Cash & Cash Equivalents,581,517,455,601,522,588,483,502,590,599,495,648,606,656,737,612,629,635,526,813,692,592,505,623,"1,269",917,761,"2,940",989,625,488,601,711,615,430,683,570,"5,635","5,612",473
Cash Growth,-28.18%,-5.83%,-7.14%,2.39%,-10.15%,13.73%,6.15%,-16.47%,13.03%,1.87%,2.48%,29.08%,2.71%,9.52%,48.89%,-5.56%,3.80%,-3.20%,-28.63%,32.84%,10.02%,-6.77%,-3.99%,-23.37%,83.38%,54.90%,50.69%,371.91%,-22.06%,-31.84%,-35.87%,-79.56%,-28.11%,-1.60%,-11.89%,13.64%,-19.83%,816.26%,1205.12%,-30.75%
Receivables,434,395,370,389,344,323,278,316,333,399,349,429,467,392,320,423,486,405,356,384,447,415,399,422,568,523,504,566,574,559,552,588,621,652,638,677,666,597,595,929
Inventory,"2,354","2,640","2,570","2,259","2,677","2,383","2,242","2,308","3,635","3,433","3,342","3,316","3,711","3,689","4,214","4,307","4,318","4,475","4,271","4,783","3,341","3,191","2,451","3,026","3,270","3,128","3,411","3,979","3,775","3,619","4,231","5,940","6,601","8,718","9,558","7,043","7,112","7,157","5,960",0
Other Current Assets,150,166,162,151,145,152,157,158,164,165,160,167,163,184,175,187,205,212,304,390,256,165,144,219,163,148,134,175,316,214,225,294,245,233,225,201,192,189,184,"7,694"
Total Current Assets,"3,519","3,718","3,557","3,400","3,688","3,446","3,160","3,284","4,722","4,596","4,346","4,560","4,947","4,921","5,446","5,529","5,638","5,727","5,457","6,370","4,736","4,363","3,499","4,290","5,270","4,716","4,810","7,660","5,654","5,017","5,496","7,423","8,178","10,218","10,851","8,604","8,540","13,578","12,351","9,096"
"Property, Plant & Equipment",266,280,288,292,281,295,305,323,326,332,342,362,376,384,379,400,384,370,371,376,748,755,707,730,699,801,822,856,878,876,878,875,981,976,966,976,956,946,939,978
Goodwill,"6,173","6,068","5,802","5,538","5,350","5,469","5,421","5,395","5,663","6,236","6,206","6,027","6,070","6,237","6,154","6,586","6,549","6,355","6,369","6,363","6,380","6,382","6,232","6,366","6,326","6,488","6,600","6,850","8,508","8,585","8,510","8,433","8,338","8,151","7,946","8,099","8,103","8,020","7,988","14,089"
Intangible Assets,"2,362","2,313","2,213","2,077","1,995","2,009","1,981","1,959","2,085","2,771","2,740","2,094","2,082","2,102","2,091","2,468","2,432","2,351","2,328","2,300","2,329","2,304","2,239","2,249","2,200","2,215","2,218","2,255","2,967","2,943","2,885","2,813","2,751","2,670","2,583","2,581","2,545","2,490","2,446","7,473"
Other Long-Term Assets,658,737,832,780,928,885,903,900,921,"1,164","1,174","1,107","1,015","1,016","1,002",803,787,338,330,291,310,328,303,289,303,339,381,358,483,562,628,571,575,581,595,608,631,623,626,665
Total Long-Term Assets,"9,459","9,398","9,135","8,687","8,554","8,658","8,610","8,577","8,995","10,503","10,462","9,590","9,543","9,739","9,626","10,257","10,152","9,414","9,398","9,330","9,767","9,769","9,481","9,634","9,528","9,843","10,021","10,319","12,836","12,966","12,901","12,692","12,645","12,378","12,090","12,264","12,235","12,079","11,999","23,205"
Total Assets,"12,978","13,116","12,692","12,087","12,242","12,104","11,770","11,861","13,717","15,099","14,808","14,150","14,490","14,660","15,072","15,786","15,790","15,141","14,855","15,700","14,503","14,132","12,980","13,924","14,798","14,559","14,831","17,979","18,490","17,983","18,397","20,115","20,823","22,596","22,941","20,868","20,775","25,657","24,350","32,301"
Accounts Payable,227,188,182,189,207,188,173,158,175,172,159,175,187,149,168,177,237,174,176,198,218,149,146,148,183,129,145,175,183,168,166,185,186,175,189,185,183,199,286,0
