,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"16,362","15,903","18,589","20,618","32,758","35,181","42,321","57,904","60,057","75,889","110,674"
Market Cap Growth,28.23%,-2.81%,16.89%,10.92%,58.88%,7.40%,20.30%,36.82%,3.72%,26.36%,-
Enterprise Value,"18,148","17,959","21,072","23,540","35,789","39,511","46,501","63,224","64,753","82,057","117,424"
PE Ratio,14.04,12.41,14.66,20.00,20.57,13.56,10.73,10.20,18.07,109.26,41.11
PS Ratio,0.90,0.82,0.89,0.88,1.22,1.10,1.09,1.36,1.26,1.53,1.89
PB Ratio,2.64,2.30,2.55,2.59,3.53,3.25,3.10,3.40,3.29,4.78,6.36
P/FCF Ratio,9.28,9.80,8.56,8.17,9.06,5.84,7.11,8.64,7.92,11.51,12.33
P/OCF Ratio,8.61,9.22,8.11,7.54,8.72,5.60,6.76,8.39,7.74,11.08,12.11
EV/Sales Ratio,1.00,0.93,1.01,1.00,1.33,1.24,1.19,1.48,1.36,1.65,2.00
EV/EBITDA Ratio,9.36,8.47,9.73,13.19,14.19,11.02,8.24,8.19,13.59,54.62,29.40
EV/EBIT Ratio,9.87,8.87,10.46,14.85,15.65,11.89,8.71,8.56,14.62,70.40,31.84
EV/FCF Ratio,10.29,11.06,9.70,9.33,9.90,6.55,7.81,9.43,8.54,12.45,13.09
Debt / Equity Ratio,0.30,0.31,0.37,0.40,0.36,0.41,0.32,0.32,0.27,0.40,0.40
Debt / EBITDA Ratio,0.96,1.02,1.25,1.76,1.31,1.23,0.78,0.70,1.03,4.25,1.72
Debt / FCF Ratio,1.06,1.33,1.25,1.25,0.91,0.73,0.74,0.80,0.65,0.97,0.77
Asset Turnover,0.76,0.76,0.72,0.72,0.72,0.72,0.75,0.70,0.68,0.67,0.72
Interest Coverage,15.55,17.32,14.81,11.25,14.93,19.97,28.15,34.06,20.26,4.79,14.08
Return on Equity (ROE),18.00%,18.90%,17.30%,13.10%,17.60%,23.60%,29.60%,34.30%,18.10%,4.40%,16.20%
Return on Assets (ROA),4.80%,5.00%,4.40%,3.20%,4.30%,5.90%,7.50%,9.40%,4.80%,0.90%,3.30%
Return on Capital (ROIC),15.47%,14.95%,13.82%,10.36%,13.59%,18.11%,22.81%,26.20%,15.24%,4.09%,12.15%
Earnings Yield,7.12%,8.06%,6.82%,5.00%,4.86%,7.37%,9.32%,9.81%,5.53%,0.92%,2.45%
FCF Yield,10.78%,10.21%,11.69%,12.24%,11.04%,17.13%,14.06%,11.58%,12.63%,8.69%,8.11%
Dividend Yield,1.00%,5.50%,2.20%,2.50%,1.20%,1.90%,3.90%,2.70%,6.20%,0.30%,0.16%
Payout Ratio,14.60%,68.80%,31.80%,50.20%,24.90%,25.30%,41.70%,27.30%,112.50%,33.60%,6.52%
Buyback Yield / Dilution,0.69%,1.46%,0.94%,0.71%,-0.12%,-0.17%,-0.09%,-0.07%,0.09%,0.02%,-0.07%
Total Shareholder Return,1.69%,6.96%,3.14%,3.21%,1.08%,1.73%,3.81%,2.63%,6.29%,0.32%,0.09%
