,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"3,862","4,755","5,469","7,099","11,209","11,885","17,428","19,165","15,388","11,709","11,798"
Market Cap Growth,32.31%,23.13%,15.00%,29.82%,57.89%,6.03%,46.63%,9.97%,-19.71%,-23.90%,-
Enterprise Value,"4,716","5,520","6,189","7,589","13,125","13,687","19,137","21,354","16,909","13,249","13,066"
PE Ratio,25.60,25.34,22.33,29.91,73.49,59.19,37.77,57.16,31.70,32.24,29.40
PS Ratio,2.28,2.59,3.02,3.80,5.22,4.85,6.72,7.55,5.48,4.20,3.99
PB Ratio,2.02,2.49,2.72,3.32,4.61,4.68,5.85,5.74,4.10,2.91,2.73
P/FCF Ratio,23.49,21.71,22.85,19.98,32.12,33.33,51.74,55.44,26.54,44.53,31.07
P/OCF Ratio,16.94,16.59,18.18,17.38,26.70,27.17,39.65,43.92,23.62,34.22,25.10
EV/Sales Ratio,2.78,3.00,3.42,4.06,6.12,5.59,7.37,8.42,6.02,4.75,4.42
EV/EBITDA Ratio,17.23,16.63,17.19,21.39,31.16,25.49,30.20,32.80,19.80,18.12,16.36
EV/EBIT Ratio,20.39,19.59,19.71,25.26,35.99,41.85,45.60,50.39,27.42,26.48,23.29
EV/FCF Ratio,28.69,25.21,25.86,21.36,37.61,38.38,56.81,61.77,29.16,50.39,34.41
Debt / Equity Ratio,0.67,0.56,0.53,0.48,0.93,0.85,0.67,0.77,0.52,0.46,0.50
Debt / EBITDA Ratio,4.70,3.22,2.94,2.91,5.34,4.02,3.17,3.94,2.30,2.51,2.69
Debt / FCF Ratio,7.82,4.88,4.43,2.91,6.45,6.05,5.97,7.42,3.39,6.97,5.66
Quick Ratio,1.15,0.91,0.90,1.91,1.40,1.24,1.28,1.43,1.22,1.21,2.23
Current Ratio,1.89,1.57,1.51,2.77,2.33,2.12,2.32,2.63,2.10,2.43,3.58
Asset Turnover,0.44,0.45,0.46,0.47,0.38,0.39,0.41,0.37,0.40,0.41,0.42
Interest Coverage,4.07,4.30,5.12,5.47,4.42,3.17,5.23,6.37,10.83,9.22,7.16
Return on Equity (ROE),8.20%,9.60%,12.70%,11.20%,6.40%,8.00%,16.70%,10.50%,13.60%,9.30%,9.70%
Return on Assets (ROA),3.90%,4.60%,6.20%,6.00%,2.70%,3.20%,7.30%,4.90%,6.90%,5.30%,5.70%
Return on Capital (ROIC),6.31%,8.29%,9.98%,9.74%,4.30%,6.14%,11.48%,6.73%,8.14%,6.86%,7.15%
Earnings Yield,3.91%,3.95%,4.48%,3.34%,1.36%,1.69%,2.65%,1.75%,3.15%,3.10%,3.42%
FCF Yield,4.26%,4.61%,4.38%,5.01%,3.11%,3.00%,1.93%,1.80%,3.77%,2.25%,3.22%
Dividend Yield,1.40%,1.20%,1.00%,0.80%,0.50%,0.50%,0.40%,0.30%,0.40%,0.50%,0.54%
Payout Ratio,37.10%,30.00%,23.10%,24.80%,40.10%,31.00%,13.60%,18.90%,13.10%,17.60%,15.93%
Buyback Yield / Dilution,-6.94%,-6.36%,-3.42%,0.86%,2.06%,-0.29%,-0.62%,-0.42%,-0.30%,0.25%,-0.08%
Total Shareholder Return,-5.54%,-5.16%,-2.42%,1.66%,2.56%,0.21%,-0.22%,-0.12%,0.10%,0.75%,0.47%
