,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Net Income,150.88,187.68,244.86,237.38,152.53,200.8,461.47,335.32,485.37,363.14
Depreciation & Amortization,42.37,50.21,46.01,54.42,56.5,209.98,214.06,227.25,237.36,230.59
Share-Based Compensation,11.87,12.23,14.47,16.87,19.41,22.44,26.94,20.74,22.94,27.22
Other Operating Activities,22.85,36.45,-4.53,99.82,191.45,4.16,-262.94,-146.91,-94.25,-278.81
Operating Cash Flow,227.97,286.57,300.81,408.48,419.89,437.38,439.53,436.41,651.42,342.14
Operating Cash Flow Growth,22.03%,25.70%,4.97%,35.79%,2.79%,4.17%,0.49%,-0.71%,49.27%,-47.48%
Capital Expenditures,-63.58,-67.57,-61.45,-53.14,-70.9,-80.8,-102.7,-90.69,-71.62,-79.19
Acquisitions,-309.06,-40.57,-93.4,-3.84,"-1,761.95",-117.15,10.88,-766.43,220.32,-186
Change in Investments,0,0,0,0,0,1.55,18.33,19.34,8.04,5.78
Other Investing Activities,-,-,-,-,-,-,-,-,-,1.47
Investing Cash Flow,-372.64,-108.14,-154.85,-56.97,"-1,832.86",-196.39,-73.48,-837.78,156.74,-257.94
Dividends Paid,-55.92,-56.26,-56.53,-58.96,-61.24,-62.17,-62.83,-63.22,-63.65,-63.79
Share Issuance / Repurchase,6.18,4.25,4.99,9.07,5.57,22.66,21.21,18.99,23.55,-4.31
Debt Issued / Paid,305,-230.1,-15.66,-42.87,"1,224",-93.5,-253.5,575,-634.5,-140.25
Other Financing Activities,-24.09,-5.59,-18.39,-25.94,-27,-73.42,-123.71,-75.61,-41.22,-9.16
Financing Cash Flow,231.17,-287.7,-85.58,-118.69,"1,141",-206.43,-418.84,455.16,-715.82,-217.51
Exchange Rate Effect,8.44,-19.47,-25.25,-27.39,61.48,-10.95,-3.29,21.01,-23.13,-19.74
Net Cash Flow,94.95,-128.75,35.13,205.42,-210.23,23.6,-56.08,74.8,69.2,-153.05
Free Cash Flow,164.39,218.99,239.36,355.35,348.98,356.58,336.83,345.71,579.8,262.95
Free Cash Flow Growth,35.39%,33.21%,9.30%,48.46%,-1.79%,2.18%,-5.54%,2.64%,67.71%,-54.65%
Free Cash Flow Margin,9.69%,11.90%,13.23%,19.02%,16.26%,14.56%,12.98%,13.63%,20.64%,9.42%
Free Cash Flow Per Share,4.00,5.29,5.76,8.20,7.75,7.80,7.29,7.44,12.40,5.61
