,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"44,190","42,529","48,206","48,264","45,189","66,804","64,885","72,681","77,742","76,474","72,504"
Market Cap Growth,21.91%,-3.76%,13.35%,0.12%,-6.37%,47.83%,-2.87%,12.02%,6.96%,-1.63%,-
Enterprise Value,"68,256","69,863","93,688","96,927","90,642","113,515","114,861","126,353","134,960","139,216","135,246"
PE Ratio,22.51,17.97,19.69,57.32,20.30,14.10,20.80,30.37,22.06,19.23,18.36
PS Ratio,2.39,2.43,2.42,2.10,1.92,3.12,3.19,3.15,2.66,3.03,2.87
PB Ratio,2.11,1.94,1.81,1.89,1.56,2.43,2.32,2.61,2.56,2.43,2.31
P/FCF Ratio,95.65,42.44,-19.00,-62.68,-44.92,-34.38,-78.55,-47.17,-54.83,-50.18,-50.18
P/OCF Ratio,7.60,6.78,9.85,7.55,6.51,11.56,9.69,11.78,12.34,10.13,9.60
EV/Sales Ratio,3.70,3.99,4.71,4.21,3.86,5.30,5.64,5.47,4.61,5.51,5.36
EV/EBITDA Ratio,11.12,10.20,12.19,15.70,11.22,9.77,12.41,14.89,12.96,11.69,11.36
EV/EBIT Ratio,17.76,15.68,19.68,35.69,20.00,13.70,21.48,28.00,21.25,20.12,19.55
EV/FCF Ratio,147.74,69.72,-36.93,-125.88,-90.10,-58.42,-139.06,-81.99,-95.18,-91.35,-91.35
Debt / Equity Ratio,1.18,1.31,1.78,1.99,1.61,1.77,1.82,1.99,1.94,2.02,2.02
Debt / EBITDA Ratio,4.04,4.20,6.18,8.23,5.80,4.19,5.52,6.54,5.68,5.33,5.33
Debt / FCF Ratio,53.63,28.68,-18.71,-65.96,-46.57,-25.06,-61.79,-36.00,-41.70,-41.66,-41.66
Quick Ratio,0.30,0.36,0.40,0.44,0.37,0.43,0.36,0.46,0.36,0.30,0.30
Current Ratio,0.65,0.72,0.75,0.74,0.67,0.78,0.71,0.82,0.66,0.78,0.78
Asset Turnover,0.27,0.23,0.21,0.21,0.21,0.18,0.17,0.18,0.22,0.18,0.18
Interest Coverage,4.60,5.30,3.62,1.60,2.46,4.77,2.94,2.46,3.14,2.83,2.83
Return on Equity (ROE),9.90%,11.40%,10.40%,3.40%,8.70%,15.70%,10.00%,7.50%,10.70%,11.70%,11.70%
Return on Assets (ROA),2.90%,3.20%,2.50%,0.80%,2.00%,4.10%,2.60%,1.90%,2.70%,2.90%,2.90%
Return on Capital (ROIC),6.66%,6.14%,4.39%,2.59%,4.28%,4.92%,5.42%,3.99%,4.90%,5.46%,5.46%
Earnings Yield,4.44%,5.57%,5.08%,1.74%,4.93%,7.09%,4.81%,3.29%,4.53%,5.20%,5.48%
FCF Yield,1.05%,2.36%,-5.26%,-1.60%,-2.23%,-2.91%,-1.27%,-2.12%,-1.82%,-1.99%,-2.10%
Dividend Yield,4.20%,4.60%,4.50%,4.80%,5.40%,3.90%,4.10%,3.80%,3.80%,4.00%,4.21%
Payout Ratio,95.10%,82.80%,86.50%,273.80%,109.20%,54.30%,86.10%,115.90%,82.30%,76.40%,77.35%
Buyback Yield / Dilution,-2.27%,-1.44%,-4.81%,-5.22%,-1.69%,-2.83%,-1.04%,-0.28%,-1.22%,-1.57%,-1.57%
Total Shareholder Return,1.93%,3.16%,-0.31%,-0.42%,3.71%,1.07%,3.06%,3.52%,2.58%,2.43%,2.64%
